#TimeStep,Date,DaysInPeriod,ZeroOrderDIM,AverageDIM,AverageFLOW,SimpleDIM,NettingSet
0,2016-02-19,14,3125613.409752,3123367.199325,0.000000,3046376.959391,CPTY_A
1,2016-03-04,14,3122618.984684,3120136.233187,-251521.411589,3039639.679344,CPTY_A
2,2016-03-18,14,3019033.436671,3016226.269380,0.000000,3138797.380604,CPTY_A
3,2016-04-01,14,3022527.744326,3018403.502852,0.000000,3087946.098948,CPTY_A
4,2016-04-15,14,3036341.971513,3032360.043928,153896.498458,3079127.105155,CPTY_A
5,2016-04-29,14,3007945.927843,3002559.820887,0.000000,3078158.607398,CPTY_A
6,2016-05-13,14,3002182.077788,2997585.860741,0.000000,2985238.034229,CPTY_A
7,2016-05-27,14,3006141.050285,2998364.658276,10657.302075,3070766.179702,CPTY_A
8,2016-06-10,14,2974768.688645,2968262.193578,0.000000,2959906.152931,CPTY_A
9,2016-06-24,14,2998901.784788,2989465.174385,0.000000,3029270.050170,CPTY_A
10,2016-07-08,14,3019568.037927,3005644.577805,134599.286614,2977454.779136,CPTY_A
11,2016-07-22,14,2972090.040039,2963484.553501,0.000000,2934229.554111,CPTY_A
12,2016-08-05,14,2957543.294842,2951379.944119,0.000000,2858241.154435,CPTY_A
13,2016-08-19,14,2965730.499624,2952932.424275,0.000000,3033859.485314,CPTY_A
14,2016-09-02,14,2985299.085546,2971148.894243,80005.910670,3004237.026597,CPTY_A
15,2016-09-16,14,2941793.387572,2924717.429351,0.000000,2991382.316705,CPTY_A
16,2016-09-30,14,2826864.151209,2813849.556368,0.000000,2881034.547711,CPTY_A
17,2016-10-14,14,2877201.148694,2859474.704376,128441.595094,2886423.872528,CPTY_A
18,2016-10-28,17,2839147.103605,2826560.278233,0.000000,2747752.220972,CPTY_A
19,2016-11-14,11,2848300.999570,2830554.830758,0.000000,2834779.680115,CPTY_A
20,2016-11-25,14,2849264.441529,2832781.848936,10478.825789,2910529.725098,CPTY_A
21,2016-12-09,14,2849504.286069,2832154.707042,0.000000,2820730.594060,CPTY_A
22,2016-12-23,14,2846402.172433,2830269.773739,0.000000,2774140.435323,CPTY_A
23,2017-01-06,14,2835574.647024,2819523.043426,0.000000,2907931.513873,CPTY_A
24,2017-01-20,14,2863845.886933,2841325.723840,118391.863241,2905731.044659,CPTY_A
