#Sample,Regressor_0_USD,Regressor_1_GBP,Regressor_2_EUR-EURIBOR-3M,Regressor_3_USD-LIBOR-3M,Regressor_4_GBP-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,0.809631,1.218054,-0.001719,0.009594,0.012073,2946717.827403,0.000000,3123367.199325,3125613.409752,1207946.876539,3046376.959391
1,0.815280,1.271670,0.006723,0.007428,0.009775,3351096.760529,0.000000,3123367.199325,3125613.409752,-1661161.658034,3046376.959391
2,0.817812,1.304779,-0.000792,0.010894,0.007770,3054685.073928,0.000000,3123367.199325,3125613.409752,-576001.976337,3046376.959391
3,0.818692,1.307428,0.001802,0.008099,0.009453,3226664.192354,0.000000,3123367.199325,3125613.409752,-903356.671386,3046376.959391
4,0.821017,1.251901,-0.001762,0.010922,0.007502,2976081.525521,0.000000,3123367.199325,3125613.409752,-320036.897724,3046376.959391
5,0.821716,1.209141,-0.000681,0.009894,0.009748,2985050.281813,0.000000,3123367.199325,3125613.409752,910271.560823,3046376.959391
6,0.822486,1.194957,0.000825,0.008546,0.011511,3053391.418824,0.000000,3123367.199325,3125613.409752,2767877.111360,3046376.959391
7,0.824863,1.255148,0.000785,0.009623,0.008964,3093899.758156,0.000000,3123367.199325,3125613.409752,533713.836711,3046376.959391
8,0.825985,1.247553,-0.002395,0.001860,0.005729,3337060.806311,0.000000,3123367.199325,3125613.409752,-1545478.097088,3046376.959391
9,0.826199,1.194860,-0.001131,0.006841,0.008353,3100990.675607,0.000000,3123367.199325,3125613.409752,1518206.408250,3046376.959391
10,0.826715,1.264643,-0.003112,0.007962,0.006456,3084762.134770,0.000000,3123367.199325,3125613.409752,-3237452.377655,3046376.959391
11,0.826738,1.207975,-0.000632,0.009655,0.008693,3008195.889253,0.000000,3123367.199325,3125613.409752,1086864.466661,3046376.959391
12,0.828042,1.236960,-0.004592,0.008338,0.004731,3017525.949236,0.000000,3123367.199325,3125613.409752,-355243.380145,3046376.959391
13,0.828329,1.272024,0.002860,0.009228,0.011525,3159281.930676,0.000000,3123367.199325,3125613.409752,-1115030.993669,3046376.959391
14,0.828395,1.228795,-0.001522,0.003744,0.001996,3309831.906435,0.000000,3123367.199325,3125613.409752,-265534.916352,3046376.959391
15,0.828624,1.288888,0.000841,0.007316,0.006795,3242731.286282,0.000000,3123367.199325,3125613.409752,-1432443.430982,3046376.959391
16,0.829008,1.187841,-0.001668,0.008460,0.011284,2979444.958961,0.000000,3123367.199325,3125613.409752,-502204.874422,3046376.959391
17,0.829369,1.208278,0.003275,0.013249,0.005363,3011405.445407,0.000000,3123367.199325,3125613.409752,-362068.319431,3046376.959391
18,0.829457,1.236037,-0.003217,0.005066,0.005347,3183917.021987,0.000000,3123367.199325,3125613.409752,978695.669285,3046376.959391
19,0.829460,1.216838,-0.002961,0.005396,-0.000186,3217531.585151,0.000000,3123367.199325,3125613.409752,-595284.891975,3046376.959391
20,0.829465,1.232662,0.001254,0.011696,0.007026,3022005.867415,0.000000,3123367.199325,3125613.409752,523341.715179,3046376.959391
21,0.829571,1.262769,-0.000385,0.005903,0.005864,3249609.314486,0.000000,3123367.199325,3125613.409752,443983.945639,3046376.959391
22,0.830342,1.241979,-0.002901,0.010562,0.010219,2918279.405754,0.000000,3123367.199325,3125613.409752,-98479.456927,3046376.959391
23,0.831409,1.260295,-0.000084,0.005221,0.002571,3315529.856156,0.000000,3123367.199325,3125613.409752,438702.765689,3046376.959391
24,0.831785,1.228248,-0.000015,0.008692,0.008906,3084936.828533,0.000000,3123367.199325,3125613.409752,330827.033204,3046376.959391
25,0.832515,1.236670,-0.002515,0.005179,0.002644,3228302.634008,0.000000,3123367.199325,3125613.409752,-1317638.920809,3046376.959391
26,0.833049,1.197616,-0.003902,0.006798,0.007463,3035086.480978,0.000000,3123367.199325,3125613.409752,168900.487356,3046376.959391
27,0.833094,1.181982,-0.000983,0.010334,0.006723,2966169.979876,0.000000,3123367.199325,3125613.409752,-600162.839942,3046376.959391
28,0.833167,1.237731,0.002839,0.006420,0.007739,3277439.987973,0.000000,3123367.199325,3125613.409752,2080453.524124,3046376.959391
29,0.833364,1.196853,0.000542,0.006381,0.004069,3215336.029194,0.000000,3123367.199325,3125613.409752,-531407.110906,3046376.959391
30,0.833649,1.317685,-0.004715,0.012254,0.008992,2880267.571054,0.000000,3123367.199325,3125613.409752,-629773.415569,3046376.959391
31,0.833793,1.246319,0.002448,0.007597,0.007335,3232910.792571,0.000000,3123367.199325,3125613.409752,-1063153.449354,3046376.959391
32,0.833809,1.213334,-0.000872,0.005754,0.005255,3203506.424817,0.000000,3123367.199325,3125613.409752,-1693500.912672,3046376.959391
33,0.833820,1.218128,0.000217,0.006709,0.006881,3183938.398387,0.000000,3123367.199325,3125613.409752,208951.321181,3046376.959391
34,0.833850,1.224165,0.003182,0.010947,0.007421,3098094.460331,0.000000,3123367.199325,3125613.409752,-380917.921728,3046376.959391
