#TimeStep,Date,DaysInPeriod,ZeroOrderDIM,AverageDIM,AverageFLOW,SimpleDIM,NettingSet
0,2016-02-19,14,580198.320198,580145.837002,0.000000,527384.736235,CPTY_A
1,2016-03-04,14,595957.982755,595904.072746,-23926.379967,572099.759746,CPTY_A
2,2016-03-18,14,563160.638944,563123.408977,0.000000,577040.331874,CPTY_A
3,2016-04-01,14,563485.586285,563396.229409,0.000000,562921.450416,CPTY_A
4,2016-04-15,14,563128.853549,563083.840170,0.000000,550069.565361,CPTY_A
5,2016-04-29,14,568765.339929,568299.045065,0.000000,538151.022513,CPTY_A
6,2016-05-13,14,560903.176575,560572.846722,0.000000,530142.919148,CPTY_A
7,2016-05-27,14,561803.483923,561676.166822,0.000000,566209.679738,CPTY_A
8,2016-06-10,14,565830.294056,565296.542795,0.000000,537276.155393,CPTY_A
9,2016-06-24,14,566514.623227,566086.563011,0.000000,540960.088718,CPTY_A
10,2016-07-08,14,565782.598784,565311.352471,0.000000,578979.553885,CPTY_A
11,2016-07-22,14,568078.173881,567575.078202,0.000000,559684.974829,CPTY_A
12,2016-08-05,14,565248.405899,565218.539981,0.000000,528747.286720,CPTY_A
13,2016-08-19,14,561730.485827,561360.362615,0.000000,540614.153471,CPTY_A
14,2016-09-02,14,561559.895555,561473.553917,288979.602969,514395.612994,CPTY_A
15,2016-09-16,14,530421.347247,529689.381960,0.000000,512038.207680,CPTY_A
16,2016-09-30,14,531099.767413,530828.864430,0.000000,523834.581655,CPTY_A
17,2016-10-14,14,521466.708723,521401.277794,0.000000,468382.761089,CPTY_A
18,2016-10-28,17,541105.103881,540900.266631,0.000000,542010.490497,CPTY_A
19,2016-11-14,11,532285.836781,532175.793643,0.000000,496733.336274,CPTY_A
20,2016-11-25,14,531366.228143,531029.612047,0.000000,542304.544233,CPTY_A
21,2016-12-09,14,531566.787549,531338.967526,0.000000,525882.366576,CPTY_A
22,2016-12-23,14,530525.724647,530410.952465,0.000000,525667.005429,CPTY_A
23,2017-01-06,14,531586.249183,529567.990680,0.000000,493313.737021,CPTY_A
24,2017-01-20,14,531073.574066,531069.128736,0.000000,542360.949497,CPTY_A
25,2017-02-03,14,523382.775121,523189.435158,0.000000,534761.525203,CPTY_A
26,2017-02-17,14,524005.272762,523608.795218,0.000000,546746.481078,CPTY_A
27,2017-03-03,14,522257.167673,522139.715560,-287292.298711,489200.080797,CPTY_A
28,2017-03-17,14,484221.866265,483970.390062,0.000000,493252.570997,CPTY_A
29,2017-03-31,18,490064.013297,489421.346545,0.000000,520444.189723,CPTY_A
30,2017-04-18,10,488293.542369,488063.622635,0.000000,504038.327086,CPTY_A
31,2017-04-28,14,485460.205939,485280.439774,0.000000,511317.612883,CPTY_A
32,2017-05-12,14,497939.670250,497829.606552,0.000000,472462.943639,CPTY_A
33,2017-05-26,14,487183.346745,486638.796840,0.000000,506439.209938,CPTY_A
34,2017-06-09,14,493722.342735,493173.094249,0.000000,502054.164764,CPTY_A
35,2017-06-23,14,492140.605161,491807.984993,0.000000,506757.860440,CPTY_A
36,2017-07-07,14,525855.174326,524439.241945,0.000000,532254.912662,CPTY_A
37,2017-07-21,14,457808.315261,457551.798863,0.000000,467660.003174,CPTY_A
38,2017-08-04,14,489289.908670,488896.689281,0.000000,490032.231313,CPTY_A
39,2017-08-18,14,494486.270458,493852.541110,0.000000,506968.069756,CPTY_A
40,2017-09-01,14,483680.254828,483396.096544,290953.323609,476236.082282,CPTY_A
41,2017-09-15,14,452610.589774,452119.521657,0.000000,458932.985708,CPTY_A
42,2017-09-29,14,444458.347058,444333.331564,0.000000,411689.574871,CPTY_A
43,2017-10-13,14,460499.532898,459954.536335,0.000000,506368.179988,CPTY_A
44,2017-10-27,17,452826.631147,451848.494360,0.000000,484026.451709,CPTY_A
45,2017-11-13,11,453772.333177,451888.834009,0.000000,459252.763329,CPTY_A
46,2017-11-24,14,452126.954512,451923.962264,0.000000,436585.679652,CPTY_A
47,2017-12-08,14,450422.880574,450409.735254,0.000000,456950.684992,CPTY_A
48,2017-12-22,14,448068.743300,447991.119406,0.000000,459798.819014,CPTY_A
49,2018-01-05,14,450518.687915,450431.489067,0.000000,431619.826855,CPTY_A
50,2018-01-19,14,452442.238633,452372.415598,0.000000,455906.165321,CPTY_A
51,2018-02-02,14,447613.889742,447245.363666,0.000000,429288.129606,CPTY_A
52,2018-02-16,14,450163.172826,450087.468137,0.000000,465427.467564,CPTY_A
53,2018-03-02,14,445483.993223,444867.919967,-280627.653771,413534.767536,CPTY_A
54,2018-03-16,18,417171.318207,416551.444267,0.000000,398951.930531,CPTY_A
55,2018-04-03,10,419936.169621,419811.811339,0.000000,416546.514503,CPTY_A
56,2018-04-13,14,411687.564196,411556.171656,0.000000,405855.817427,CPTY_A
57,2018-04-27,14,422866.552251,422814.477982,0.000000,383605.827949,CPTY_A
58,2018-05-11,14,420244.949897,419900.918709,0.000000,399308.218709,CPTY_A
59,2018-05-25,14,420829.713624,420648.983024,0.000000,405695.034472,CPTY_A
60,2018-06-08,14,418629.408205,418498.213076,0.000000,421476.760224,CPTY_A
61,2018-06-22,14,427392.083561,426490.000106,0.000000,427575.595796,CPTY_A
62,2018-07-06,14,416683.944306,416606.948277,0.000000,386191.180168,CPTY_A
63,2018-07-20,14,422837.653508,422706.149424,0.000000,434993.100386,CPTY_A
64,2018-08-03,14,423802.046759,423755.104578,0.000000,424002.487973,CPTY_A
65,2018-08-17,14,413428.346408,413483.303775,0.000000,403795.962037,CPTY_A
66,2018-08-31,14,417116.017723,417073.156666,281193.857733,469176.461801,CPTY_A
67,2018-09-14,14,388522.872949,388268.274496,0.000000,372011.050618,CPTY_A
68,2018-09-28,14,393076.295824,393062.338327,0.000000,411289.500195,CPTY_A
69,2018-10-12,14,381639.692001,381639.442681,0.000000,401886.460173,CPTY_A
70,2018-10-26,14,388000.756933,387523.450603,0.000000,384592.997920,CPTY_A
71,2018-11-09,14,382767.197198,382192.080098,0.000000,378744.707882,CPTY_A
72,2018-11-23,14,384556.890785,384723.804822,0.000000,372168.868679,CPTY_A
73,2018-12-07,14,383526.402395,383624.402565,0.000000,369896.335269,CPTY_A
74,2018-12-21,14,385506.675640,384703.264570,0.000000,366077.677579,CPTY_A
75,2019-01-04,14,387641.225521,387293.669366,0.000000,396652.568207,CPTY_A
76,2019-01-18,14,380973.657484,380943.311558,0.000000,370892.231277,CPTY_A
77,2019-02-01,14,389819.794891,389901.100232,0.000000,409131.786610,CPTY_A
78,2019-02-15,14,382176.194860,382251.244379,0.000000,388449.700059,CPTY_A
79,2019-03-01,14,383488.549298,383462.451094,-277092.120629,374772.510655,CPTY_A
80,2019-03-15,14,352050.940006,351948.550029,0.000000,365888.250908,CPTY_A
81,2019-03-29,14,350594.265219,350563.982049,0.000000,358517.444554,CPTY_A
82,2019-04-12,14,351907.226112,352043.973285,0.000000,357027.148585,CPTY_A
83,2019-04-26,14,345232.707905,345372.152185,0.000000,366264.885151,CPTY_A
84,2019-05-10,14,351009.845556,351076.780811,0.000000,347251.316947,CPTY_A
85,2019-05-24,14,349398.657855,349282.260555,0.000000,348281.635457,CPTY_A
86,2019-06-07,14,353901.681765,353818.449531,0.000000,360807.344523,CPTY_A
87,2019-06-21,14,350575.770553,350716.422463,0.000000,357282.595301,CPTY_A
88,2019-07-05,14,351934.976769,352001.427752,0.000000,356508.278969,CPTY_A
89,2019-07-19,14,350521.140193,350627.901247,0.000000,345028.146566,CPTY_A
90,2019-08-02,14,351067.032980,351101.560543,0.000000,330190.856373,CPTY_A
91,2019-08-16,14,352811.604747,351803.252528,0.000000,384906.504687,CPTY_A
92,2019-08-30,14,351322.725972,350285.414842,275485.196631,376207.631481,CPTY_A
93,2019-09-13,14,318199.377795,318384.791243,0.000000,311939.775655,CPTY_A
94,2019-09-27,14,322669.297523,322755.509478,0.000000,298735.692365,CPTY_A
95,2019-10-11,14,318534.942453,318625.083175,0.000000,311347.116210,CPTY_A
96,2019-10-25,14,320819.093026,321034.092354,0.000000,324586.881411,CPTY_A
97,2019-11-08,14,317973.671411,318127.199323,0.000000,328594.499671,CPTY_A
98,2019-11-22,14,321967.859863,321432.799403,0.000000,324283.300811,CPTY_A
99,2019-12-06,14,317718.620772,317155.203093,0.000000,318841.709691,CPTY_A
100,2019-12-20,14,303156.862540,303261.741727,0.000000,306203.800780,CPTY_A
101,2020-01-03,14,308209.523451,308169.653466,0.000000,343718.866608,CPTY_A
102,2020-01-17,14,332222.982504,332443.298384,0.000000,355051.232289,CPTY_A
103,2020-01-31,14,328791.602410,328909.848975,0.000000,301297.819843,CPTY_A
104,2020-02-14,14,316486.323745,316642.859050,0.000000,334677.044145,CPTY_A
105,2020-02-28,14,318332.266256,318409.647037,-274852.461014,319165.900109,CPTY_A
106,2020-03-13,14,287030.262932,287277.147634,0.000000,250766.714428,CPTY_A
107,2020-03-27,18,286383.515041,286299.149661,0.000000,259553.398934,CPTY_A
108,2020-04-14,10,284404.242232,284368.879007,0.000000,295695.271889,CPTY_A
109,2020-04-24,14,285260.880621,285514.574941,0.000000,292853.050147,CPTY_A
110,2020-05-08,14,287786.087949,287954.732808,0.000000,286468.528256,CPTY_A
111,2020-05-22,14,280736.194543,280956.085865,0.000000,279254.810501,CPTY_A
112,2020-06-05,14,286632.511845,286818.041904,0.000000,282559.914027,CPTY_A
113,2020-06-19,17,286618.449452,286922.482098,0.000000,290523.498404,CPTY_A
114,2020-07-06,11,287617.950931,287920.193691,0.000000,281801.775291,CPTY_A
115,2020-07-17,14,283108.236365,283415.391510,0.000000,290511.426102,CPTY_A
116,2020-07-31,14,285337.683605,285643.941728,0.000000,270347.596921,CPTY_A
117,2020-08-14,14,287450.030279,287782.459713,0.000000,309233.846909,CPTY_A
118,2020-08-28,14,283985.567314,284290.512317,270998.846199,280732.865996,CPTY_A
119,2020-09-11,14,257651.780464,257913.270387,0.000000,266917.308075,CPTY_A
120,2020-09-25,14,253913.094488,254143.031615,0.000000,258879.265055,CPTY_A
121,2020-10-09,14,256533.111629,256837.982511,0.000000,251352.761142,CPTY_A
122,2020-10-23,14,257243.121091,257559.712639,0.000000,263942.967786,CPTY_A
123,2020-11-06,14,256304.183689,256624.161483,0.000000,269660.997416,CPTY_A
124,2020-11-20,14,255116.040729,255501.107217,0.000000,236070.390675,CPTY_A
125,2020-12-04,14,256098.890187,256441.729513,0.000000,244477.947086,CPTY_A
126,2020-12-18,17,256378.181704,256727.845197,0.000000,252557.799356,CPTY_A
127,2021-01-04,11,258024.976979,258395.902688,0.000000,259488.733696,CPTY_A
128,2021-01-15,14,257881.694275,258259.973344,0.000000,250146.779141,CPTY_A
129,2021-01-29,14,254153.299346,254230.211642,0.000000,244475.019582,CPTY_A
130,2021-02-12,14,256476.787078,256610.979874,0.000000,262699.998813,CPTY_A
131,2021-02-26,14,258639.117206,258347.536501,-263025.724100,256943.626178,CPTY_A
132,2021-03-12,14,220001.720101,220274.912511,0.000000,204225.355846,CPTY_A
133,2021-03-26,14,229551.542409,229942.195380,0.000000,239923.554276,CPTY_A
134,2021-04-09,14,223704.109768,223992.999054,0.000000,205185.755088,CPTY_A
135,2021-04-23,14,224866.328405,225221.758393,0.000000,216924.104247,CPTY_A
136,2021-05-07,14,224320.874583,224714.586471,0.000000,229170.373289,CPTY_A
137,2021-05-21,14,227485.162037,227877.935386,0.000000,243635.414712,CPTY_A
138,2021-06-04,14,230841.267983,231236.575383,0.000000,246489.123166,CPTY_A
139,2021-06-18,14,229930.087722,230081.163369,0.000000,209150.492127,CPTY_A
140,2021-07-02,14,226138.540790,226638.720227,0.000000,216871.983525,CPTY_A
141,2021-07-16,14,214649.865481,215183.382719,0.000000,201843.178965,CPTY_A
142,2021-07-30,14,225071.985377,225426.947392,0.000000,211393.398549,CPTY_A
143,2021-08-13,14,225412.920099,225807.316524,0.000000,225175.238448,CPTY_A
144,2021-08-27,14,225604.419844,225977.289431,262044.657239,218101.757735,CPTY_A
145,2021-09-10,14,196592.553463,196987.527923,0.000000,191768.606482,CPTY_A
146,2021-09-24,14,197901.044224,198204.320718,0.000000,203782.652170,CPTY_A
147,2021-10-08,14,194651.487581,195002.262195,0.000000,192336.217820,CPTY_A
148,2021-10-22,14,196280.514232,196687.587704,0.000000,196518.391746,CPTY_A
149,2021-11-05,14,196385.001232,196819.135839,0.000000,192738.247571,CPTY_A
150,2021-11-19,14,190105.648219,190488.064374,0.000000,176994.240446,CPTY_A
151,2021-12-03,14,202942.171831,203378.747555,0.000000,194256.876603,CPTY_A
152,2021-12-17,18,196146.722040,196589.835800,0.000000,195533.056155,CPTY_A
153,2022-01-04,10,196250.903319,196564.688785,0.000000,178804.920399,CPTY_A
154,2022-01-14,14,195120.174006,195451.418112,0.000000,181870.845079,CPTY_A
155,2022-01-28,14,197905.346113,198349.400515,0.000000,181832.230706,CPTY_A
156,2022-02-11,14,197395.739330,197886.275515,0.000000,194486.020863,CPTY_A
157,2022-02-25,14,195999.441584,196406.616694,-262839.234909,186965.282276,CPTY_A
158,2022-03-11,14,168103.252778,168308.467443,0.000000,166558.835318,CPTY_A
159,2022-03-25,14,166067.368915,166541.725693,0.000000,175247.317646,CPTY_A
160,2022-04-08,14,168173.690417,168283.514708,0.000000,180560.466406,CPTY_A
161,2022-04-22,14,167588.010218,168053.539696,0.000000,163323.481592,CPTY_A
162,2022-05-06,14,166800.211098,167169.167942,0.000000,178723.873598,CPTY_A
163,2022-05-20,14,167292.597681,167511.810815,0.000000,173377.413688,CPTY_A
164,2022-06-03,14,167628.440754,168095.627840,0.000000,171500.076503,CPTY_A
165,2022-06-17,14,167179.254373,167650.434782,0.000000,171134.895431,CPTY_A
166,2022-07-01,14,166200.809499,166528.983544,0.000000,168316.434301,CPTY_A
167,2022-07-15,14,167656.433927,168008.855662,0.000000,153710.061553,CPTY_A
168,2022-07-29,14,169065.490725,169529.248153,0.000000,159420.757067,CPTY_A
169,2022-08-12,14,167513.768080,168056.620595,0.000000,165853.187242,CPTY_A
170,2022-08-26,14,165681.892576,165477.425997,261055.250180,161064.680050,CPTY_A
171,2022-09-09,14,139286.019764,139664.475907,0.000000,136868.985744,CPTY_A
172,2022-09-23,14,139285.621598,139663.113458,0.000000,137832.639944,CPTY_A
173,2022-10-07,14,139262.526452,139729.691987,0.000000,137978.872949,CPTY_A
