#Sample,Regressor_0_EUR-EURIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,-0.025335,375906.407684,0.000000,303251.128623,303156.862540,-29568.452201,306203.800780
1,-0.023679,373727.089571,0.000000,303251.128623,303156.862540,155230.683119,306203.800780
2,-0.022724,372438.801000,327393.429096,303251.128623,303156.862540,-204365.251583,306203.800780
3,-0.021765,371122.585199,0.000000,303251.128623,303156.862540,131959.758260,306203.800780
4,-0.021399,370613.418751,0.000000,303251.128623,303156.862540,64.832530,306203.800780
5,-0.020909,369927.765053,0.000000,303251.128623,303156.862540,-12949.096781,306203.800780
6,-0.019813,368369.755393,0.000000,303251.128623,303156.862540,126708.728872,306203.800780
7,-0.019587,368045.220425,0.000000,303251.128623,303156.862540,170323.093518,306203.800780
8,-0.019515,367941.268942,0.000000,303251.128623,303156.862540,127626.980086,306203.800780
9,-0.018972,367154.161167,327381.611435,303251.128623,303156.862540,-14978.748540,306203.800780
10,-0.018747,366825.446570,0.000000,303251.128623,303156.862540,-42398.742664,306203.800780
11,-0.018741,366815.744248,0.000000,303251.128623,303156.862540,-12475.715307,306203.800780
12,-0.018543,366525.776527,0.000000,303251.128623,303156.862540,403586.309597,306203.800780
13,-0.018298,366165.417181,0.000000,303251.128623,303156.862540,-75022.732565,306203.800780
14,-0.018066,365821.854191,0.000000,303251.128623,303156.862540,-108965.606545,306203.800780
15,-0.017980,365694.596216,327378.484178,303251.128623,303156.862540,-64312.361858,306203.800780
16,-0.017890,365561.559713,0.000000,303251.128623,303156.862540,330768.970552,306203.800780
17,-0.017600,365129.534804,0.000000,303251.128623,303156.862540,100485.855542,306203.800780
18,-0.017506,364989.468937,0.000000,303251.128623,303156.862540,-35546.828008,306203.800780
19,-0.017314,364700.995662,0.000000,303251.128623,303156.862540,99236.063178,306203.800780
20,-0.017240,364589.806660,0.000000,303251.128623,303156.862540,-70104.181104,306203.800780
21,-0.016844,363991.799932,327374.904593,303251.128623,303156.862540,-124434.101656,306203.800780
22,-0.016755,363856.718500,0.000000,303251.128623,303156.862540,-15317.456884,306203.800780
23,-0.016351,363243.107184,0.000000,303251.128623,303156.862540,155607.089536,306203.800780
24,-0.016060,362796.152493,0.000000,303251.128623,303156.862540,-69082.633974,306203.800780
25,-0.015889,362534.297479,0.000000,303251.128623,303156.862540,262514.833317,306203.800780
26,-0.015831,362444.133651,0.000000,303251.128623,303156.862540,113034.719249,306203.800780
27,-0.015557,362021.482666,327370.850871,303251.128623,303156.862540,141460.330102,306203.800780
28,-0.015436,361833.748501,0.000000,303251.128623,303156.862540,-76218.234440,306203.800780
29,-0.015090,361294.357375,0.000000,303251.128623,303156.862540,-276115.170952,306203.800780
30,-0.015045,361223.408890,0.000000,303251.128623,303156.862540,306926.919930,306203.800780
31,-0.014905,361005.434961,0.000000,303251.128623,303156.862540,169339.841079,306203.800780
32,-0.014902,360999.591068,0.000000,303251.128623,303156.862540,-51910.266251,306203.800780
33,-0.014859,360933.032589,0.000000,303251.128623,303156.862540,34696.573121,306203.800780
34,-0.014648,360601.854243,0.000000,303251.128623,303156.862540,-234760.241446,306203.800780
