#Sample,Regressor_0_NPV,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,-3793076.500000,245936.592490,0.000000,303233.029173,303156.862540,-142080.269487,306203.800780
1,-3384587.500000,259189.302423,0.000000,303233.029173,303156.862540,223157.312356,306203.800780
2,-3320891.500000,261136.402391,0.000000,303233.029173,303156.862540,-127823.380229,306203.800780
3,-3293622.750000,261960.711344,0.000000,303233.029173,303156.862540,-88447.744910,306203.800780
4,-3157683.250000,265989.341032,0.000000,303233.029173,303156.862540,-128138.300307,306203.800780
5,-3137879.500000,266565.244635,0.000000,303233.029173,303156.862540,117064.007515,306203.800780
6,-3122270.500000,267017.230172,0.000000,303233.029173,303156.862540,99252.239728,306203.800780
7,-3119023.750000,267111.032289,0.000000,303233.029173,303156.862540,-66039.009176,306203.800780
8,-3118406.000000,267128.871460,0.000000,303233.029173,303156.862540,17628.999546,306203.800780
9,-3086754.250000,268039.364936,0.000000,303233.029173,303156.862540,-100601.177767,306203.800780
10,-3059542.500000,268816.629219,0.000000,303233.029173,303156.862540,127619.708790,306203.800780
11,-3038646.750000,269410.058481,0.000000,303233.029173,303156.862540,-164197.838649,306203.800780
12,-2995201.000000,270634.456923,0.000000,303233.029173,303156.862540,17955.704099,306203.800780
13,-2904502.250000,273150.117877,0.000000,303233.029173,303156.862540,-67560.908776,306203.800780
14,-2876660.750000,273911.554447,0.000000,303233.029173,303156.862540,210990.843822,306203.800780
15,-2864464.750000,274243.527412,0.000000,303233.029173,303156.862540,-69075.906939,306203.800780
16,-2851603.000000,274592.587784,0.000000,303233.029173,303156.862540,-270504.143360,306203.800780
17,-2851024.500000,274608.263049,0.000000,303233.029173,303156.862540,133100.602847,306203.800780
18,-2794541.250000,276128.509943,0.000000,303233.029173,303156.862540,-30737.682036,306203.800780
19,-2790557.000000,276234.984756,0.000803,303233.029173,303156.862540,-23793.141360,306203.800780
20,-2783793.750000,276415.497171,0.000000,303233.029173,303156.862540,-99409.299001,306203.800780
21,-2779582.250000,276527.758006,0.000000,303233.029173,303156.862540,-182659.447669,306203.800780
22,-2773375.000000,276693.014723,0.000000,303233.029173,303156.862540,28809.005914,306203.800780
23,-2766041.500000,276887.945546,0.000000,303233.029173,303156.862540,-20183.127965,306203.800780
24,-2753906.250000,277209.774744,0.000000,303233.029173,303156.862540,-146747.291206,306203.800780
25,-2744228.500000,277465.774476,0.000000,303233.029173,303156.862540,-113747.855296,306203.800780
26,-2739058.000000,277602.308628,0.000000,303233.029173,303156.862540,-229514.235200,306203.800780
27,-2731328.500000,277806.108256,0.000000,303233.029173,303156.862540,-19598.529054,306203.800780
28,-2700086.500000,278626.098988,0.000000,303233.029173,303156.862540,12444.114846,306203.800780
29,-2696952.250000,278708.031262,0.000000,303233.029173,303156.862540,-45272.225241,306203.800780
30,-2679326.250000,279167.674421,0.000000,303233.029173,303156.862540,-13987.188167,306203.800780
31,-2639218.750000,280206.550457,0.000000,303233.029173,303156.862540,61218.266030,306203.800780
32,-2639198.750000,280207.066079,0.000000,303233.029173,303156.862540,64864.052130,306203.800780
33,-2631524.500000,280404.739272,0.000000,303233.029173,303156.862540,30056.566566,306203.800780
34,-2620792.750000,280680.574641,0.000000,303233.029173,303156.862540,-37619.735542,306203.800780
35,-2581380.250000,281687.683469,0.000000,303233.029173,303156.862540,-180517.216477,306203.800780
36,-2578451.750000,281762.147107,0.001606,303233.029173,303156.862540,46693.271724,306203.800780
37,-2573755.000000,281881.466486,0.000000,303233.029173,303156.862540,-3507.592902,306203.800780
38,-2526765.750000,283068.062579,0.000000,303233.029173,303156.862540,-2996.138654,306203.800780
39,-2499091.500000,283760.866299,0.000000,303233.029173,303156.862540,-57561.000276,306203.800780
40,-2497401.500000,283803.030067,0.000000,303233.029173,303156.862540,-23891.620379,306203.800780
41,-2492805.000000,283917.624382,0.000000,303233.029173,303156.862540,-134105.048719,306203.800780
42,-2479688.250000,284243.963689,0.000000,303233.029173,303156.862540,70190.693353,306203.800780
43,-2465238.500000,284602.319559,0.000000,303233.029173,303156.862540,-27492.387682,306203.800780
44,-2461751.000000,284688.630269,0.000000,303233.029173,303156.862540,-112319.048700,306203.800780
45,-2460070.500000,284730.195358,0.000000,303233.029173,303156.862540,85013.472317,306203.800780
46,-2460052.250000,284730.646660,0.000000,303233.029173,303156.862540,42064.921571,306203.800780
47,-2456525.500000,284817.823439,0.000000,303233.029173,303156.862540,125368.315842,306203.800780
48,-2450626.500000,284963.479966,0.000000,303233.029173,303156.862540,-271067.232406,306203.800780
49,-2440874.750000,285203.831148,0.000000,303233.029173,303156.862540,-62305.952367,306203.800780
50,-2423852.250000,285622.084791,0.000000,303233.029173,303156.862540,-123851.665183,306203.800780
51,-2421673.000000,285675.511328,0.000000,303233.029173,303156.862540,-155027.700041,306203.800780
52,-2417437.250000,285779.277931,0.000000,303233.029173,303156.862540,-212597.684624,306203.800780
53,-2416689.500000,285797.585597,0.000000,303233.029173,303156.862540,-153848.829987,306203.800780
54,-2413512.500000,285875.334881,0.000000,303233.029173,303156.862540,133837.280273,306203.800780
55,-2409565.750000,285971.842258,0.000000,303233.029173,303156.862540,-88187.978532,306203.800780
56,-2400717.500000,286187.882620,0.000000,303233.029173,303156.862540,120943.955940,306203.800780
57,-2396070.750000,286301.161310,0.000000,303233.029173,303156.862540,-135052.220366,306203.800780
58,-2391176.750000,286420.335779,0.000000,303233.029173,303156.862540,-328481.067838,306203.800780
59,-2372177.000000,286881.724001,0.000000,303233.029173,303156.862540,113773.892294,306203.800780
60,-2341487.750000,287622.708211,0.000000,303233.029173,303156.862540,11815.605472,306203.800780
61,-2340155.500000,287654.756086,0.000000,303233.029173,303156.862540,-72417.761530,306203.800780
62,-2334858.750000,287782.074187,0.000000,303233.029173,303156.862540,-302620.238320,306203.800780
63,-2329995.750000,287898.829013,0.000000,303233.029173,303156.862540,79485.425726,306203.800780
64,-2318499.500000,288174.318873,0.000000,303233.029173,303156.862540,-31469.466130,306203.800780
65,-2313691.250000,288289.324199,0.000000,303233.029173,303156.862540,11603.296027,306203.800780
66,-2279173.000000,289111.202296,0.000000,303233.029173,303156.862540,48169.875182,306203.800780
67,-2250131.000000,289797.632720,0.000000,303233.029173,303156.862540,230356.150689,306203.800780
68,-2242618.750000,289974.442498,0.000000,303233.029173,303156.862540,-155613.828652,306203.800780
69,-2231960.500000,290224.771541,0.000000,303233.029173,303156.862540,-17838.049916,306203.800780
70,-2231644.750000,290232.178133,0.000000,303233.029173,303156.862540,214048.856986,306203.800780
