#TimeStep,Date,DaysInPeriod,ZeroOrderDIM,AverageDIM,AverageFLOW,SimpleDIM,NettingSet
0,2016-02-19,14,91145.500096,90506.145219,0.000000,103079.047208,CPTY_A
1,2016-03-04,14,87441.748612,86944.022861,0.000000,90532.853430,CPTY_A
2,2016-03-18,14,88549.007255,87713.456663,0.000000,91371.716602,CPTY_A
3,2016-04-01,14,90483.839555,89409.997235,0.000000,100734.702785,CPTY_A
4,2016-04-15,14,90053.025719,88600.851076,0.000000,99359.648263,CPTY_A
5,2016-04-29,14,89982.956563,88389.913829,0.000000,99636.851022,CPTY_A
6,2016-05-13,14,90369.137946,88608.889152,0.000000,100762.121200,CPTY_A
7,2016-05-27,14,91901.798421,90105.145589,0.000000,96690.431578,CPTY_A
8,2016-06-10,14,88241.658297,86363.714692,0.000000,99997.274385,CPTY_A
9,2016-06-24,14,90812.701660,88277.093033,0.000000,104690.461969,CPTY_A
10,2016-07-08,14,89182.983725,87323.685979,0.000000,99983.024410,CPTY_A
11,2016-07-22,14,93353.557227,89550.057842,0.000000,108447.635196,CPTY_A
12,2016-08-05,14,90736.597283,87647.767147,0.000000,94726.736112,CPTY_A
13,2016-08-19,14,92032.054097,88615.766654,0.000000,104456.815104,CPTY_A
14,2016-09-02,14,90083.996020,86969.019795,0.000000,106816.771120,CPTY_A
15,2016-09-16,14,91027.204043,87565.396966,0.000000,98115.903914,CPTY_A
16,2016-09-30,14,92439.790788,88248.174038,0.000000,104835.940460,CPTY_A
17,2016-10-14,14,99212.544133,93912.066126,0.000000,114672.462803,CPTY_A
18,2016-10-28,17,86026.158815,82539.536119,0.000000,90598.284729,CPTY_A
19,2016-11-14,11,92724.286042,88305.106632,0.000000,100123.715448,CPTY_A
20,2016-11-25,14,93550.732142,88117.577429,0.000000,123391.291613,CPTY_A
21,2016-12-09,14,95779.695427,88531.358634,0.000000,110954.281453,CPTY_A
22,2016-12-23,14,91002.484214,86359.554862,0.000000,106010.837703,CPTY_A
23,2017-01-06,14,94708.624970,88046.889716,0.000000,113539.660561,CPTY_A
24,2017-01-20,14,94946.482202,88775.690744,0.000000,112023.658884,CPTY_A
25,2017-02-03,14,93681.074395,88161.852173,0.000000,105286.411192,CPTY_A
26,2017-02-17,14,92595.631665,87093.644293,0.000000,99866.437676,CPTY_A
27,2017-03-03,14,94344.019806,86949.146730,0.000000,112457.508571,CPTY_A
28,2017-03-17,14,94738.699194,87463.213626,0.000000,106345.236072,CPTY_A
29,2017-03-31,18,97572.492805,88167.119031,0.000000,123494.632787,CPTY_A
30,2017-04-18,10,95505.340396,87696.522144,0.000000,115411.745970,CPTY_A
31,2017-04-28,14,96685.887864,88889.321654,0.000000,117311.521413,CPTY_A
32,2017-05-12,14,103739.075541,94763.386718,0.000000,115914.928225,CPTY_A
33,2017-05-26,14,86273.758293,79768.740662,0.000000,102164.689884,CPTY_A
34,2017-06-09,14,95056.700723,84877.918050,0.000000,103316.391075,CPTY_A
35,2017-06-23,14,97898.070590,85352.848377,0.000000,115879.697261,CPTY_A
36,2017-07-07,14,92556.279823,85340.447978,0.000000,110487.470326,CPTY_A
37,2017-07-21,14,94841.985216,86798.682060,0.000000,117101.450834,CPTY_A
38,2017-08-04,14,95551.810972,87500.158051,0.000000,111267.794947,CPTY_A
39,2017-08-18,14,95861.999467,87833.623485,0.000000,105556.426401,CPTY_A
40,2017-09-01,14,93322.021795,86551.689919,0.000000,116329.492564,CPTY_A
41,2017-09-15,14,95421.573857,86439.419283,0.000000,111156.291518,CPTY_A
42,2017-09-29,14,95024.089446,86431.418803,0.000000,106696.509057,CPTY_A
43,2017-10-13,14,97987.580255,87415.706383,0.000000,122600.419326,CPTY_A
44,2017-10-27,17,96059.346309,86485.644632,0.000000,115215.663089,CPTY_A
45,2017-11-13,11,95733.935793,87080.208562,0.000000,104812.538979,CPTY_A
46,2017-11-24,14,98006.212173,83809.715029,0.000000,118068.081244,CPTY_A
47,2017-12-08,14,101130.071256,86300.940387,0.000000,129482.161604,CPTY_A
48,2017-12-22,14,96206.189256,86708.256364,0.000000,116340.991351,CPTY_A
49,2018-01-05,14,98256.756315,86095.317400,0.000000,113309.955872,CPTY_A
50,2018-01-19,14,96833.174316,86902.935355,0.000000,113575.178530,CPTY_A
51,2018-02-02,14,96647.250081,85118.051174,0.000000,118878.223459,CPTY_A
52,2018-02-16,14,98846.154207,83512.247120,0.000000,118717.903485,CPTY_A
53,2018-03-02,14,114609.970382,101434.870317,0.000000,138408.087416,CPTY_A
54,2018-03-16,18,76800.999110,66856.399266,0.000000,106085.142239,CPTY_A
55,2018-04-03,10,95321.177733,85190.703822,0.000000,129513.878379,CPTY_A
56,2018-04-13,14,101837.439828,85053.451117,0.000000,120270.444582,CPTY_A
57,2018-04-27,14,96796.661249,85238.790266,0.000000,129814.325475,CPTY_A
58,2018-05-11,14,98402.959042,84565.882001,0.000000,123127.527242,CPTY_A
59,2018-05-25,14,97627.758523,85516.334635,0.000000,118343.799558,CPTY_A
60,2018-06-08,14,98872.793436,83231.145589,0.000000,125095.301070,CPTY_A
61,2018-06-22,14,101111.691630,82869.277730,0.000000,130930.124822,CPTY_A
62,2018-07-06,14,99197.285106,82810.436951,0.000000,137959.089919,CPTY_A
63,2018-07-20,14,98739.294763,84647.250861,0.000000,127080.150396,CPTY_A
64,2018-08-03,14,95933.379003,83522.494515,0.000000,121615.497815,CPTY_A
65,2018-08-17,14,99391.759157,86254.010478,0.000000,124634.856070,CPTY_A
66,2018-08-31,14,105612.007213,90724.793809,0.000000,115429.993975,CPTY_A
67,2018-09-14,14,93387.230774,79240.156946,0.000000,111340.309052,CPTY_A
68,2018-09-28,14,102485.061788,85902.339037,0.000000,120514.394351,CPTY_A
69,2018-10-12,14,99450.181197,81437.170945,0.000000,116183.711901,CPTY_A
70,2018-10-26,14,99458.597739,85530.475991,0.000000,132408.343537,CPTY_A
71,2018-11-09,14,101705.228721,84918.972573,0.000000,134993.429674,CPTY_A
72,2018-11-23,14,99839.829008,85820.755559,0.000000,135666.940274,CPTY_A
73,2018-12-07,14,101703.254102,85463.327703,0.000000,138914.312115,CPTY_A
74,2018-12-21,14,107614.743165,89400.833546,0.000000,136911.580509,CPTY_A
75,2019-01-04,14,105738.373975,86497.144054,0.000000,132265.519248,CPTY_A
76,2019-01-18,14,96063.613374,78863.024889,0.000000,118087.078567,CPTY_A
77,2019-02-01,14,98085.603617,83287.017827,0.000000,128946.400884,CPTY_A
78,2019-02-15,14,100213.694964,83887.415385,0.000000,133097.577188,CPTY_A
79,2019-03-01,14,105434.340695,83702.700090,0.000000,126224.997906,CPTY_A
80,2019-03-15,14,97931.857036,83796.924720,0.000000,116867.082741,CPTY_A
81,2019-03-29,14,101374.600385,83139.822119,0.000000,136116.419874,CPTY_A
82,2019-04-12,14,103795.930060,89516.407868,0.000000,138947.684629,CPTY_A
83,2019-04-26,14,99866.546160,80400.435598,0.000000,119615.001408,CPTY_A
84,2019-05-10,14,100959.077353,84983.168517,0.000000,127944.032320,CPTY_A
85,2019-05-24,14,100399.661104,84178.260074,0.000000,131900.535793,CPTY_A
86,2019-06-07,14,101949.049960,81089.803068,0.000000,121511.007915,CPTY_A
87,2019-06-21,14,101553.931819,86458.029187,0.000000,140370.432957,CPTY_A
88,2019-07-05,14,98389.801947,82555.485150,0.000000,136440.005002,CPTY_A
89,2019-07-19,14,104274.242737,83430.920207,0.000000,134883.559890,CPTY_A
90,2019-08-02,14,104005.767947,84981.448051,0.000000,151328.683237,CPTY_A
91,2019-08-16,14,103365.240457,83851.177536,0.000000,133324.545952,CPTY_A
92,2019-08-30,14,104675.243931,82115.493197,0.000000,124383.691441,CPTY_A
93,2019-09-13,14,109427.216178,82816.259632,0.000000,131420.413993,CPTY_A
