#Sample,Regressor_0_EUR-EURIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,-0.026434,299341.630633,0.000000,92446.153672,98433.223691,143700.775428,130922.570270
1,-0.025956,297402.808226,0.000000,92446.153672,98433.223691,66609.481623,130922.570270
2,-0.025832,296902.038816,124414.135408,92446.153672,98433.223691,50056.284380,130922.570270
3,-0.022576,283682.626138,124357.164935,92446.153672,98433.223691,111503.968558,130922.570270
4,-0.020518,275313.372052,0.000000,92446.153672,98433.223691,-3956.941221,130922.570270
5,-0.020440,274995.879360,0.000000,92446.153672,98433.223691,-147081.215112,130922.570270
6,-0.020262,274274.614697,0.000000,92446.153672,98433.223691,85952.436507,130922.570270
7,-0.019027,269247.109211,0.000000,92446.153672,98433.223691,59759.002289,130922.570270
8,-0.018901,268732.837074,0.000000,92446.153672,98433.223691,330327.115378,130922.570270
9,-0.018642,267679.660237,0.000000,92446.153672,98433.223691,-131280.186022,130922.570270
10,-0.018490,267060.276126,0.000000,92446.153672,98433.223691,126493.077039,130922.570270
11,-0.018140,265631.657293,0.000000,92446.153672,98433.223691,-92885.780272,130922.570270
12,-0.017329,262326.190795,0.000000,92446.153672,98433.223691,-21375.510766,130922.570270
13,-0.016993,260957.655187,0.000000,92446.153672,98433.223691,-11139.275729,130922.570270
14,-0.016740,259925.108726,0.000000,92446.153672,98433.223691,-34892.051787,130922.570270
15,-0.016697,259750.903599,0.000000,92446.153672,98433.223691,-2283.826907,130922.570270
16,-0.016510,258986.409437,0.000000,92446.153672,98433.223691,1418.765857,130922.570270
17,-0.016248,257919.385721,124246.451969,92446.153672,98433.223691,-38703.920664,130922.570270
18,-0.016058,257142.869925,0.000000,92446.153672,98433.223691,-115963.271965,130922.570270
19,-0.015164,253494.359043,0.000000,92446.153672,98433.223691,-93557.010888,130922.570270
20,-0.014866,252275.550988,0.000000,92446.153672,98433.223691,-44909.250248,130922.570270
21,-0.014577,251095.605294,0.000000,92446.153672,98433.223691,213091.596622,130922.570270
22,-0.014413,250427.859797,0.000000,92446.153672,98433.223691,-41231.152518,130922.570270
23,-0.014406,250396.939121,0.000000,92446.153672,98433.223691,-132251.121145,130922.570270
24,-0.014065,249004.358604,0.000000,92446.153672,98433.223691,39740.450443,130922.570270
25,-0.013741,247679.366592,0.000000,92446.153672,98433.223691,94691.017514,130922.570270
26,-0.013674,247405.473540,0.000000,92446.153672,98433.223691,43535.542626,130922.570270
27,-0.013528,246807.186527,0.000000,92446.153672,98433.223691,-165076.974227,130922.570270
28,-0.013310,245917.868922,0.000000,92446.153672,98433.223691,-114019.973176,130922.570270
29,-0.013307,245903.495436,124194.987462,92446.153672,98433.223691,19629.278708,130922.570270
30,-0.012471,242485.346786,0.000000,92446.153672,98433.223691,34038.191373,130922.570270
31,-0.012181,241298.453850,0.000000,92446.153672,98433.223691,157043.890753,130922.570270
32,-0.011475,238404.219681,0.000000,92446.153672,98433.223691,99603.944245,130922.570270
33,-0.011254,237502.333562,0.000000,92446.153672,98433.223691,-37773.635239,130922.570270
34,-0.011022,236549.897010,0.000000,92446.153672,98433.223691,-35712.352960,130922.570270
35,-0.010841,235809.769979,0.000000,92446.153672,98433.223691,-66166.390025,130922.570270
36,-0.010386,233942.433719,0.000000,92446.153672,98433.223691,109731.723437,130922.570270
37,-0.010376,233902.894890,0.000000,92446.153672,98433.223691,40066.212450,130922.570270
38,-0.010163,233028.904770,124139.991478,92446.153672,98433.223691,11267.380060,130922.570270
39,-0.010036,232505.629163,0.000000,92446.153672,98433.223691,-93574.325955,130922.570270
40,-0.009958,232186.900657,0.000000,92446.153672,98433.223691,44996.674453,130922.570270
41,-0.009697,231117.341048,0.000000,92446.153672,98433.223691,112383.116626,130922.570270
42,-0.008693,226993.321426,0.000000,92446.153672,98433.223691,111465.865441,130922.570270
43,-0.008660,226856.972927,0.000000,92446.153672,98433.223691,-11529.138606,130922.570270
44,-0.008643,226786.388702,0.000000,92446.153672,98433.223691,-61084.386059,130922.570270
45,-0.008402,225796.617550,0.000000,92446.153672,98433.223691,86329.692588,130922.570270
46,-0.008244,225146.077712,0.000000,92446.153672,98433.223691,114030.504698,130922.570270
47,-0.008199,224962.033339,0.000000,92446.153672,98433.223691,-7000.637375,130922.570270
48,-0.008048,224342.942981,0.000000,92446.153672,98433.223691,-148147.002476,130922.570270
49,-0.007508,222118.857472,0.000000,92446.153672,98433.223691,-153760.854632,130922.570270
50,-0.007396,221657.975534,0.000000,92446.153672,98433.223691,-21635.529481,130922.570270
51,-0.007347,221457.706603,124090.712531,92446.153672,98433.223691,13037.410028,130922.570270
52,-0.006909,219656.021857,0.000000,92446.153672,98433.223691,-91285.710553,130922.570270
53,-0.006752,219010.692372,0.000000,92446.153672,98433.223691,-17354.522530,130922.570270
54,-0.006702,218804.022434,0.000000,92446.153672,98433.223691,-121010.186903,130922.570270
55,-0.006698,218784.927675,0.000000,92446.153672,98433.223691,171957.501554,130922.570270
56,-0.006637,218534.755704,0.000000,92446.153672,98433.223691,-4977.977299,130922.570270
57,-0.006375,217454.761860,0.000000,92446.153672,98433.223691,62052.756137,130922.570270
58,-0.006311,217191.579641,0.000000,92446.153672,98433.223691,-79370.090802,130922.570270
59,-0.006257,216970.420495,0.000000,92446.153672,98433.223691,-31141.432444,130922.570270
60,-0.006246,216925.395751,0.000000,92446.153672,98433.223691,-44265.228824,130922.570270
61,-0.006082,216248.290351,0.000000,92446.153672,98433.223691,-1260.408138,130922.570270
62,-0.005540,214012.106003,0.000000,92446.153672,98433.223691,177499.241067,130922.570270
63,-0.005534,213990.786858,124058.998339,92446.153672,98433.223691,-216452.702647,130922.570270
64,-0.005514,213906.478830,0.000000,92446.153672,98433.223691,-78019.049456,130922.570270
65,-0.005321,213109.736790,0.000000,92446.153672,98433.223691,-43904.011412,130922.570270
66,-0.005246,212799.340549,0.000000,92446.153672,98433.223691,36367.656714,130922.570270
67,-0.004914,211433.269455,0.000000,92446.153672,98433.223691,-116058.460475,130922.570270
68,-0.004765,210815.989924,0.000000,92446.153672,98433.223691,-50875.999396,130922.570270
69,-0.004728,210663.467323,0.000000,92446.153672,98433.223691,-115900.663782,130922.570270
70,-0.004392,209275.467238,0.000000,92446.153672,98433.223691,-93352.616591,130922.570270
71,-0.004129,208189.283138,0.000000,92446.153672,98433.223691,-20070.193725,130922.570270
72,-0.004062,207913.295646,0.000000,92446.153672,98433.223691,-85096.225067,130922.570270
73,-0.004042,207830.742437,0.000000,92446.153672,98433.223691,40427.091447,130922.570270
74,-0.003966,207514.105469,0.000000,92446.153672,98433.223691,32441.278535,130922.570270
75,-0.003915,207302.924551,0.000000,92446.153672,98433.223691,150337.335548,130922.570270
76,-0.003879,207154.756734,0.000000,92446.153672,98433.223691,74207.573887,130922.570270
77,-0.003871,207124.746241,0.000000,92446.153672,98433.223691,-31705.010825,130922.570270
78,-0.003838,206984.828772,0.000000,92446.153672,98433.223691,-193247.562108,130922.570270
79,-0.003787,206774.072495,124028.418259,92446.153672,98433.223691,149935.084309,130922.570270
80,-0.003767,206694.743338,0.000000,92446.153672,98433.223691,-26590.261956,130922.570270
81,-0.003683,206346.837059,0.000000,92446.153672,98433.223691,-122172.784865,130922.570270
82,-0.003681,206337.682155,0.000000,92446.153672,98433.223691,52448.490529,130922.570270
83,-0.003604,206016.931509,0.000000,92446.153672,98433.223691,-26883.128815,130922.570270
84,-0.003505,205608.960449,0.000000,92446.153672,98433.223691,-40739.369621,130922.570270
85,-0.003296,204746.560117,124019.840479,92446.153672,98433.223691,-23206.121882,130922.570270
86,-0.003285,204700.549189,0.000000,92446.153672,98433.223691,-146174.411509,130922.570270
87,-0.003052,203733.893365,0.000000,92446.153672,98433.223691,-80469.200214,130922.570270
88,-0.002787,202640.158759,0.000000,92446.153672,98433.223691,66699.565890,130922.570270
89,-0.002720,202361.162105,124009.756639,92446.153672,98433.223691,-22172.318273,130922.570270
90,-0.002689,202234.339617,0.000000,92446.153672,98433.223691,-37559.375324,130922.570270
91,-0.002590,201822.239330,0.000000,92446.153672,98433.223691,-103463.829049,130922.570270
92,-0.002548,201650.476438,0.000000,92446.153672,98433.223691,94573.859408,130922.570270
93,-0.002451,201246.427969,124005.047358,92446.153672,98433.223691,72589.593748,130922.570270
94,-0.001702,198142.151846,0.000000,92446.153672,98433.223691,-15090.515175,130922.570270
95,-0.001517,197374.436704,0.000000,92446.153672,98433.223691,71157.230599,130922.570270
96,-0.001291,196437.940457,0.000000,92446.153672,98433.223691,-17594.606681,130922.570270
97,-0.001278,196381.451904,0.000000,92446.153672,98433.223691,-54418.673626,130922.570270
98,-0.001068,195510.432350,0.000000,92446.153672,98433.223691,158905.647779,130922.570270
99,-0.001013,195281.879674,0.000000,92446.153672,98433.223691,-56698.142331,130922.570270
100,-0.000967,195090.613600,0.000000,92446.153672,98433.223691,80544.981214,130922.570270
101,-0.000808,194429.849299,0.000000,92446.153672,98433.223691,-57702.812809,130922.570270
102,-0.000797,194384.912292,0.000000,92446.153672,98433.223691,36884.530515,130922.570270
103,-0.000780,194313.689092,123975.805354,92446.153672,98433.223691,28083.229624,130922.570270
104,-0.000503,193164.386652,0.000000,92446.153672,98433.223691,107135.173971,130922.570270
105,-0.000439,192898.004243,123969.844216,92446.153672,98433.223691,4046.827950,130922.570270
106,-0.000367,192596.790576,0.000000,92446.153672,98433.223691,78501.470925,130922.570270
107,-0.000266,192177.274247,0.000000,92446.153672,98433.223691,78873.272733,130922.570270
