#TimeStep,Date,DaysInPeriod,ZeroOrderDIM,AverageDIM,AverageFLOW,SimpleDIM,NettingSet
0,2016-02-19,14,1475422.310795,1474643.297966,0.000000,1411708.684502,CPTY_A
1,2016-03-04,14,1495464.286362,1493431.854990,0.000000,1464002.757178,CPTY_A
2,2016-03-18,14,1515055.786767,1503231.267777,0.000000,1563413.466791,CPTY_A
3,2016-04-01,14,1486154.834437,1484876.518449,0.000000,1600891.113723,CPTY_A
4,2016-04-15,14,1504988.938877,1501487.161279,153879.267891,1617727.123202,CPTY_A
5,2016-04-29,14,1354760.146825,1350674.199345,0.000000,1358915.978951,CPTY_A
6,2016-05-13,14,1563599.639905,1555150.579811,0.000000,1427506.731915,CPTY_A
7,2016-05-27,14,1460812.099636,1456648.372533,0.000000,1446512.875536,CPTY_A
8,2016-06-10,14,1502321.395104,1482845.675235,0.000000,1608328.019829,CPTY_A
9,2016-06-24,14,1433835.234565,1425075.978792,0.000000,1403578.854815,CPTY_A
10,2016-07-08,14,1437245.421713,1422912.834671,134576.100008,1319819.467267,CPTY_A
11,2016-07-22,14,1442241.985302,1431465.994512,0.000000,1402194.404839,CPTY_A
12,2016-08-05,14,1452327.043003,1432162.576004,0.000000,1480998.471177,CPTY_A
13,2016-08-19,14,1445404.872634,1428488.726290,0.000000,1595988.516840,CPTY_A
14,2016-09-02,14,1396870.119881,1390144.280729,0.000000,1436174.968231,CPTY_A
15,2016-09-16,14,1419027.251763,1404060.842968,0.000000,1381173.018346,CPTY_A
16,2016-09-30,14,1449013.912505,1434122.716947,0.000000,1539079.661810,CPTY_A
17,2016-10-14,14,1421278.986133,1411801.463240,128659.718846,1445577.752250,CPTY_A
18,2016-10-28,17,1370131.337551,1357616.840424,0.000000,1536970.258357,CPTY_A
19,2016-11-14,11,1395018.947983,1379901.999845,0.000000,1457728.077914,CPTY_A
20,2016-11-25,14,1377790.761943,1361732.311362,0.000000,1402886.642718,CPTY_A
21,2016-12-09,14,1395793.153743,1367850.132017,0.000000,1439022.436909,CPTY_A
22,2016-12-23,14,1353852.499521,1341674.441013,0.000000,1406292.086937,CPTY_A
23,2017-01-06,14,1407121.535905,1392737.780498,0.000000,1480363.791180,CPTY_A
24,2017-01-20,14,1400744.809229,1382435.598547,118553.684686,1437865.854349,CPTY_A
25,2017-02-03,14,1295746.088518,1268830.794855,0.000000,1214369.085161,CPTY_A
26,2017-02-17,14,1231997.376477,1213936.371974,0.000000,1273436.286500,CPTY_A
27,2017-03-03,14,1244638.744980,1234711.383527,0.000000,1314040.869241,CPTY_A
28,2017-03-17,14,1251029.080342,1235159.413004,0.000000,1296076.445413,CPTY_A
29,2017-03-31,18,1251453.714028,1237522.984547,0.000000,1225589.372568,CPTY_A
30,2017-04-18,10,1229429.854826,1215878.844704,116638.472319,1184876.941998,CPTY_A
31,2017-04-28,14,1203655.394073,1190171.656076,0.000000,1311927.603528,CPTY_A
32,2017-05-12,14,1216771.716492,1200523.939595,0.000000,1262121.013893,CPTY_A
33,2017-05-26,14,1223573.926066,1205757.700174,0.000000,1247987.932536,CPTY_A
34,2017-06-09,14,1212003.715497,1195418.078578,0.000000,1233666.710363,CPTY_A
35,2017-06-23,14,1241125.291339,1214832.446238,0.000000,1337624.979758,CPTY_A
36,2017-07-07,14,1230649.378882,1213555.305653,0.000000,1210177.168798,CPTY_A
37,2017-07-21,14,1205198.597242,1186711.367042,111622.864344,1273205.320780,CPTY_A
38,2017-08-04,14,1192854.993945,1166035.866565,0.000000,1207546.708302,CPTY_A
39,2017-08-18,14,1149760.952086,1142520.866237,0.000000,1148152.965050,CPTY_A
40,2017-09-01,14,1172327.978659,1148962.448254,0.000000,1177327.173388,CPTY_A
41,2017-09-15,14,1194779.216884,1163779.377086,0.000000,1295836.066088,CPTY_A
