#Sample,Regressor_0_USD,Regressor_1_USD-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,0.436162,0.009921,0.000000,568888.168227,653156.605559,686680.771158,-232736.715915,705674.475361
1,0.447045,0.006315,0.000000,0.000000,653156.605559,686680.771158,14962.028202,705674.475361
2,0.452195,0.004199,109024.130281,0.000000,653156.605559,686680.771158,213598.402419,705674.475361
3,0.458077,0.036541,0.000000,0.000000,653156.605559,686680.771158,-167553.232011,705674.475361
4,0.459925,0.013658,0.000000,573986.897753,653156.605559,686680.771158,-5390.811543,705674.475361
5,0.461765,0.037420,0.000000,0.000000,653156.605559,686680.771158,-32562.973380,705674.475361
6,0.474739,0.011122,96351.460683,0.000000,653156.605559,686680.771158,-75435.016487,705674.475361
7,0.478441,0.022809,0.000000,0.000000,653156.605559,686680.771158,-71309.757232,705674.475361
8,0.482311,0.046400,0.000000,0.000000,653156.605559,686680.771158,-50352.420209,705674.475361
9,0.482697,0.021015,0.000000,0.000000,653156.605559,686680.771158,4255.016311,705674.475361
10,0.494379,0.012529,167615.575755,0.000000,653156.605559,686680.771158,51257.593970,705674.475361
11,0.494765,0.009280,208327.094501,0.000000,653156.605559,686680.771158,-39886.418762,705674.475361
12,0.499794,0.046768,0.000000,0.000000,653156.605559,686680.771158,-14693.972965,705674.475361
13,0.508237,0.017041,159148.015060,0.000000,653156.605559,686680.771158,91212.917065,705674.475361
14,0.517624,0.011680,248641.987005,0.000000,653156.605559,686680.771158,119162.082331,705674.475361
15,0.518390,-0.005350,374746.191173,0.000000,653156.605559,686680.771158,280841.653582,705674.475361
16,0.519050,0.037431,0.000000,0.000000,653156.605559,686680.771158,-383587.374665,705674.475361
17,0.521642,0.028900,0.000000,0.000000,653156.605559,686680.771158,-36323.696926,705674.475361
18,0.522520,0.011120,265820.104815,0.000000,653156.605559,686680.771158,74038.066736,705674.475361
19,0.524274,0.018992,192434.812548,0.000000,653156.605559,686680.771158,-97650.582252,705674.475361
20,0.533540,0.022540,180994.002635,0.000000,653156.605559,686680.771158,199008.106994,705674.475361
21,0.534371,0.075301,0.000000,0.000000,653156.605559,686680.771158,-16410.025161,705674.475361
22,0.534456,0.019157,222158.975350,0.000000,653156.605559,686680.771158,115674.459883,705674.475361
23,0.536452,0.039081,0.000000,0.000000,653156.605559,686680.771158,-267850.184799,705674.475361
24,0.538819,0.022363,200860.659370,592237.497777,653156.605559,686680.771158,-251457.308822,705674.475361
25,0.540096,0.003985,354628.858652,592550.591643,653156.605559,686680.771158,-17232.559582,705674.475361
26,0.541566,0.022387,209201.102905,0.000000,653156.605559,686680.771158,135744.018949,705674.475361
27,0.543043,0.037206,0.000000,0.000000,653156.605559,686680.771158,-282941.199132,705674.475361
28,0.547435,0.047871,0.000000,0.000000,653156.605559,686680.771158,237825.403568,705674.475361
29,0.548777,-0.019777,495201.887088,0.000000,653156.605559,686680.771158,519317.958001,705674.475361
30,0.550369,0.028748,161482.683077,0.000000,653156.605559,686680.771158,60439.781627,705674.475361
31,0.550500,0.023415,224836.800406,0.000000,653156.605559,686680.771158,-82664.402941,705674.475361
32,0.552640,-0.003975,422087.505906,0.000000,653156.605559,686680.771158,235528.874129,705674.475361
33,0.553974,0.038625,0.000000,0.000000,653156.605559,686680.771158,-86863.068797,705674.475361
34,0.555959,0.004445,379521.863120,0.000000,653156.605559,686680.771158,-265860.570332,705674.475361
35,0.558975,0.043947,0.000000,0.000000,653156.605559,686680.771158,-456322.662003,705674.475361
36,0.559446,0.005038,381851.732510,0.000000,653156.605559,686680.771158,-93677.128681,705674.475361
37,0.560299,0.014830,319798.267538,0.000000,653156.605559,686680.771158,298127.307349,705674.475361
38,0.560453,0.019800,282514.791646,0.000000,653156.605559,686680.771158,-19384.146474,705674.475361
39,0.562941,0.024583,247405.190766,0.000000,653156.605559,686680.771158,169018.645941,705674.475361
40,0.564158,0.007606,374377.492435,0.000000,653156.605559,686680.771158,303110.282900,705674.475361
41,0.567785,0.033148,168480.141609,0.000000,653156.605559,686680.771158,-128447.291217,705674.475361
42,0.568231,0.025074,256447.083364,0.000000,653156.605559,686680.771158,-271154.263462,705674.475361
43,0.570561,0.009633,373018.145392,0.000000,653156.605559,686680.771158,74871.253058,705674.475361
44,0.571109,0.012373,356867.844539,0.000000,653156.605559,686680.771158,240728.588927,705674.475361
45,0.571509,0.008326,382517.941754,600442.716232,653156.605559,686680.771158,-273874.111143,705674.475361
46,0.572701,0.017461,325894.811392,0.000000,653156.605559,686680.771158,301654.554659,705674.475361
47,0.574857,0.037440,133809.985619,0.000000,653156.605559,686680.771158,-150191.781126,705674.475361
48,0.575929,0.041800,0.000000,0.000000,653156.605559,686680.771158,-280579.924777,705674.475361
49,0.579583,0.026373,272804.952749,0.000000,653156.605559,686680.771158,-165126.109804,705674.475361
50,0.580786,0.033654,206825.718933,0.000000,653156.605559,686680.771158,-158378.408314,705674.475361
51,0.581227,0.048347,0.000000,0.000000,653156.605559,686680.771158,114261.483021,705674.475361
52,0.581619,0.032629,220276.117997,0.000000,653156.605559,686680.771158,-336420.202755,705674.475361
53,0.581652,0.032405,222670.526304,0.000000,653156.605559,686680.771158,-184973.558421,705674.475361
54,0.583878,0.041241,110294.122626,0.000000,653156.605559,686680.771158,-86500.256455,705674.475361
55,0.584627,0.025124,294267.880433,0.000000,653156.605559,686680.771158,300614.921301,705674.475361
56,0.585289,0.005101,422750.588738,0.000000,653156.605559,686680.771158,-57913.826314,705674.475361
57,0.588974,0.034053,226883.769946,604990.767587,653156.605559,686680.771158,-92007.880601,705674.475361
58,0.590600,-0.001481,464265.085992,605420.223749,653156.605559,686680.771158,-289759.965587,705674.475361
59,0.592005,0.002797,444801.223262,0.000000,653156.605559,686680.771158,59380.049188,705674.475361
60,0.592658,0.038216,192955.510746,0.000000,653156.605559,686680.771158,-24477.985258,705674.475361
61,0.596596,0.031849,267040.699818,0.000000,653156.605559,686680.771158,-122797.747207,705674.475361
62,0.597320,0.008593,422202.042627,0.000000,653156.605559,686680.771158,-198463.660373,705674.475361
63,0.598031,0.013201,397694.137233,607395.345260,653156.605559,686680.771158,213425.299991,705674.475361
64,0.598310,0.031276,275907.864615,0.000000,653156.605559,686680.771158,-127985.836803,705674.475361
65,0.599994,0.017317,376722.174512,0.000000,653156.605559,686680.771158,53886.233766,705674.475361
66,0.601007,0.016308,384474.074938,0.000000,653156.605559,686680.771158,-250472.624394,705674.475361
67,0.602000,0.023106,343667.881585,608459.133188,653156.605559,686680.771158,117197.469098,705674.475361
68,0.602617,0.034881,255393.961710,608625.084696,653156.605559,686680.771158,96954.535792,705674.475361
69,0.603313,-0.015255,542824.734769,0.000000,653156.605559,686680.771158,-375649.774870,705674.475361
70,0.605281,0.016044,393078.790975,0.000000,653156.605559,686680.771158,-308803.464410,705674.475361
71,0.605850,0.017584,384997.463151,0.000000,653156.605559,686680.771158,77828.904633,705674.475361
72,0.608843,0.020761,370923.868852,0.000000,653156.605559,686680.771158,-159174.653659,705674.475361
73,0.610845,0.040377,225255.397912,0.000000,653156.605559,686680.771158,232497.268725,705674.475361
74,0.611504,0.013263,418549.670212,0.000000,653156.605559,686680.771158,-379155.410010,705674.475361
75,0.611798,-0.002320,496581.599749,0.000000,653156.605559,686680.771158,122770.528581,705674.475361
76,0.614154,0.013153,423186.224013,0.000000,653156.605559,686680.771158,167436.844304,705674.475361
77,0.616983,0.030101,324753.033991,0.000000,653156.605559,686680.771158,-16616.635177,705674.475361
78,0.618512,0.024091,367184.930330,0.000000,653156.605559,686680.771158,-137309.726205,705674.475361
79,0.619879,0.005208,471864.812580,0.000000,653156.605559,686680.771158,-119612.732106,705674.475361
80,0.622067,0.013854,431341.224917,613931.804407,653156.605559,686680.771158,-21878.583890,705674.475361
81,0.622587,0.019275,402506.804827,0.000000,653156.605559,686680.771158,-229134.898884,705674.475361
