#TimeStep,Date,DaysInPeriod,ZeroOrderDIM,AverageDIM,AverageFLOW,SimpleDIM,NettingSet
0,2016-02-19,14,1640508.699805,1639764.503007,0.000000,1587833.282259,CPTY_A
1,2016-03-04,14,1645499.073671,1642702.193544,12150.938431,1582851.186094,CPTY_A
2,2016-03-18,14,1635418.252516,1634558.632026,0.000000,1713821.653892,CPTY_A
3,2016-04-01,14,1633570.472663,1632728.305078,0.000000,1644019.276923,CPTY_A
4,2016-04-15,14,1668446.927436,1663731.009192,0.000000,1829267.507173,CPTY_A
5,2016-04-29,14,1614275.434751,1613021.306428,0.000000,1616040.972787,CPTY_A
6,2016-05-13,14,1635187.632770,1631026.519217,0.000000,1681952.899560,CPTY_A
7,2016-05-27,14,1628661.760231,1622361.049896,61007.409497,1422313.837762,CPTY_A
8,2016-06-10,14,1641802.332529,1632150.858339,0.000000,1454683.994761,CPTY_A
9,2016-06-24,14,1639423.501047,1635019.303877,0.000000,1666480.762885,CPTY_A
10,2016-07-08,14,1629039.150979,1623414.667896,0.000000,1625507.455863,CPTY_A
11,2016-07-22,14,1641446.701680,1632819.603760,0.000000,1623750.119359,CPTY_A
12,2016-08-05,14,1637256.263027,1631461.841288,0.000000,1747655.288771,CPTY_A
13,2016-08-19,14,1642677.397112,1635285.088570,0.000000,1735986.543697,CPTY_A
14,2016-09-02,14,1635448.128861,1623247.251600,-236920.178750,1604028.350611,CPTY_A
15,2016-09-16,14,1627762.951878,1616399.246331,0.000000,1802238.594827,CPTY_A
16,2016-09-30,14,1640776.523479,1626366.479696,0.000000,1688765.436440,CPTY_A
17,2016-10-14,14,1623881.130616,1619768.939678,0.000000,1535621.051861,CPTY_A
18,2016-10-28,17,1641365.800919,1629123.166428,0.000000,1563341.061115,CPTY_A
19,2016-11-14,11,1521864.188317,1504396.236865,0.000000,1810023.063166,CPTY_A
20,2016-11-25,14,1738018.986627,1730551.847650,67263.975830,1605854.146143,CPTY_A
21,2016-12-09,14,1649453.188948,1626449.764505,0.000000,1708290.140043,CPTY_A
22,2016-12-23,14,1614245.159084,1605847.042995,0.000000,1690617.462957,CPTY_A
23,2017-01-06,14,1649317.428338,1627054.654170,0.000000,1723703.879399,CPTY_A
24,2017-01-20,14,1646822.632046,1630378.070171,0.000000,1702188.035690,CPTY_A
25,2017-02-03,14,1608439.472716,1597097.440467,0.000000,1712676.817991,CPTY_A
26,2017-02-17,14,1633522.470396,1625384.354699,0.000000,1683727.660584,CPTY_A
27,2017-03-03,14,1618675.263173,1610274.467990,-217591.255111,1799527.459195,CPTY_A
28,2017-03-17,14,1620911.171811,1603075.580832,0.000000,1719709.036372,CPTY_A
29,2017-03-31,18,1617937.784396,1607407.297360,0.000000,1636203.299360,CPTY_A
30,2017-04-18,10,1591034.014722,1558597.773691,0.000000,1516426.409454,CPTY_A
31,2017-04-28,14,1664805.002574,1655512.322437,0.000000,1785609.242744,CPTY_A
32,2017-05-12,14,1615903.017218,1592564.294565,0.000000,1579893.590380,CPTY_A
33,2017-05-26,14,1601988.845821,1594358.016478,73950.281557,1599626.578701,CPTY_A
34,2017-06-09,14,1588785.121333,1572706.972774,0.000000,1642818.931107,CPTY_A
35,2017-06-23,14,1635100.171397,1618135.366447,0.000000,1797588.282072,CPTY_A
36,2017-07-07,14,1613561.622209,1583090.604794,0.000000,1575722.934423,CPTY_A
37,2017-07-21,14,1640849.762839,1613984.981391,0.000000,1841522.632835,CPTY_A
38,2017-08-04,14,1636122.240034,1608499.435444,0.000000,1671561.843175,CPTY_A
39,2017-08-18,14,1586497.678854,1576998.815410,0.000000,1685054.312973,CPTY_A
40,2017-09-01,14,1595039.410315,1581876.410851,-215327.211330,1575308.756194,CPTY_A
41,2017-09-15,14,1579735.762123,1570185.129469,0.000000,1439201.478951,CPTY_A
42,2017-09-29,14,1669940.694353,1643495.962055,0.000000,1860799.411550,CPTY_A
43,2017-10-13,14,1606819.750357,1566639.240453,0.000000,1619830.385117,CPTY_A
44,2017-10-27,17,1597793.634845,1585501.753236,0.000000,1579206.348791,CPTY_A
45,2017-11-13,11,1649157.158343,1595647.125034,0.000000,1669305.018624,CPTY_A
46,2017-11-24,14,1628567.027892,1603900.489625,73833.209725,1850740.528889,CPTY_A
47,2017-12-08,14,1611985.409332,1595431.452456,0.000000,1655604.697820,CPTY_A
48,2017-12-22,14,1587899.239530,1565741.187384,0.000000,1610247.346949,CPTY_A
49,2018-01-05,14,1623020.034860,1591046.396252,0.000000,1672503.644988,CPTY_A
50,2018-01-19,14,1612373.743802,1592965.737301,0.000000,1773247.305770,CPTY_A
51,2018-02-02,14,1677702.777514,1660817.609908,0.000000,1870037.901727,CPTY_A
52,2018-02-16,14,1709265.663724,1679292.785858,0.000000,1958315.598739,CPTY_A
53,2018-03-02,14,1685650.700026,1666248.316035,-203642.236237,1791900.310224,CPTY_A
54,2018-03-16,18,1679430.367412,1656832.819264,0.000000,1779795.252932,CPTY_A
55,2018-04-03,10,1748567.437513,1695799.645773,0.000000,1851869.247517,CPTY_A
56,2018-04-13,14,1693917.595938,1670681.312125,0.000000,1691885.032617,CPTY_A
57,2018-04-27,14,1702871.744480,1674000.961081,0.000000,1729286.530424,CPTY_A
58,2018-05-11,14,1685477.333542,1663487.153433,0.000000,1662734.263751,CPTY_A
59,2018-05-25,14,1731867.073097,1681261.785587,91373.581856,1969300.011731,CPTY_A
60,2018-06-08,14,1738496.445392,1674197.764606,0.000000,1850818.842499,CPTY_A
61,2018-06-22,14,1712489.616699,1681083.822055,0.000000,1781446.714794,CPTY_A
62,2018-07-06,14,1721934.401670,1661030.041472,0.000000,1772789.122213,CPTY_A
63,2018-07-20,14,1741951.066416,1680530.582385,0.000000,1939437.576156,CPTY_A
64,2018-08-03,14,1663144.223938,1640623.934908,0.000000,1650058.651366,CPTY_A
65,2018-08-17,14,1684967.865083,1655414.334762,0.000000,1653113.239233,CPTY_A
66,2018-08-31,14,1702096.149514,1623132.684223,-197972.441427,1961840.976846,CPTY_A
67,2018-09-14,14,1702477.036606,1674249.999233,0.000000,1808443.008889,CPTY_A
68,2018-09-28,14,1716343.872047,1677217.738143,0.000000,1770340.166725,CPTY_A
69,2018-10-12,14,1696843.046868,1636617.832778,0.000000,1692836.039562,CPTY_A
70,2018-10-26,14,1760390.995407,1635044.093940,0.000000,1824748.033316,CPTY_A
71,2018-11-09,14,1750563.224660,1674305.054940,0.000000,1620469.160577,CPTY_A
72,2018-11-23,14,1675203.319253,1628411.396776,89094.414628,1807954.512618,CPTY_A
73,2018-12-07,14,1705199.907848,1664769.503068,0.000000,1874347.257114,CPTY_A
74,2018-12-21,14,1736466.041335,1685504.582649,0.000000,1877899.877786,CPTY_A
75,2019-01-04,14,1677845.746955,1626907.398045,0.000000,1656691.952397,CPTY_A
76,2019-01-18,14,1702813.121804,1629821.725731,0.000000,1973550.435487,CPTY_A
77,2019-02-01,14,1832705.903591,1765449.966178,0.000000,1925650.735711,CPTY_A
78,2019-02-15,14,1877943.358256,1807065.530789,0.000000,2025677.103806,CPTY_A
79,2019-03-01,14,1871239.216280,1796801.831213,-185243.311526,1845110.586336,CPTY_A
80,2019-03-15,14,1874160.445730,1806874.336696,0.000000,1962745.216982,CPTY_A
81,2019-03-29,14,1883222.598102,1788444.013038,0.000000,2092753.389921,CPTY_A
82,2019-04-12,14,1843246.359547,1788369.085386,0.000000,2010885.600445,CPTY_A
83,2019-04-26,14,1875914.021850,1798187.456553,0.000000,1998282.277881,CPTY_A
84,2019-05-10,14,1838125.330449,1805587.213701,0.000000,1962667.525500,CPTY_A
85,2019-05-24,14,1880960.032825,1822854.590899,107718.523924,2044865.111167,CPTY_A
86,2019-06-07,14,1837392.084339,1786089.272428,0.000000,2007213.857318,CPTY_A
87,2019-06-21,14,1834818.151447,1799335.240689,0.000000,1981597.197922,CPTY_A
88,2019-07-05,14,1929916.759967,1802565.298853,0.000000,2108780.054622,CPTY_A
89,2019-07-19,14,1888046.937474,1795803.375761,0.000000,2124675.267341,CPTY_A
90,2019-08-02,14,1808292.862770,1773061.828923,0.000000,2051665.328967,CPTY_A
91,2019-08-16,14,1864117.924076,1822770.531378,0.000000,2112971.967341,CPTY_A
92,2019-08-30,14,1870035.740148,1752544.807937,-176510.794468,1972375.473993,CPTY_A
93,2019-09-13,14,1825323.170271,1774548.277904,0.000000,1844995.763696,CPTY_A
94,2019-09-27,14,1841586.620023,1774137.109239,0.000000,1990979.581573,CPTY_A
95,2019-10-11,14,1894514.285789,1803397.066324,0.000000,2240511.745239,CPTY_A
96,2019-10-25,14,1871626.353496,1721443.576246,0.000000,1894254.893895,CPTY_A
97,2019-11-08,14,1848029.992390,1790935.602443,0.000000,1999936.753700,CPTY_A
98,2019-11-22,14,1842383.597362,1794945.603221,104738.150476,1901539.501338,CPTY_A
99,2019-12-06,14,1853015.141431,1779082.073669,0.000000,2069767.895408,CPTY_A
100,2019-12-20,14,1852540.738136,1773632.048884,0.000000,2093807.545081,CPTY_A
101,2020-01-03,14,1819495.140501,1775347.436107,0.000000,1946820.472164,CPTY_A
102,2020-01-17,14,1831836.761455,1768515.307888,0.000000,1789904.178085,CPTY_A
103,2020-01-31,14,1848440.991936,1793694.759652,0.000000,2022075.036252,CPTY_A
104,2020-02-14,14,1822442.840521,1720405.569542,0.000000,1823183.439293,CPTY_A
105,2020-02-28,14,1810160.372743,1740272.563630,-165319.136945,2078266.798215,CPTY_A
106,2020-03-13,14,1855937.444231,1770330.181158,0.000000,1887819.957055,CPTY_A
107,2020-03-27,18,1847478.730721,1742206.702876,0.000000,2045282.502714,CPTY_A
108,2020-04-14,10,1876666.602491,1745847.681766,0.000000,2073604.347792,CPTY_A
109,2020-04-24,14,1874026.928933,1761038.394827,0.000000,2092384.417247,CPTY_A
110,2020-05-08,14,1815492.559294,1707834.648478,0.000000,2040575.551922,CPTY_A
111,2020-05-22,14,1801437.133092,1708010.614173,122727.998158,1997078.041710,CPTY_A
112,2020-06-05,14,1765402.416174,1713730.443058,0.000000,1927795.207982,CPTY_A
113,2020-06-19,17,1871194.599781,1774731.108120,0.000000,1990023.973534,CPTY_A
114,2020-07-06,11,1695441.316989,1640775.034588,0.000000,1882902.146686,CPTY_A
115,2020-07-17,14,1939276.617481,1811471.333128,0.000000,2055081.047174,CPTY_A
116,2020-07-31,14,1819549.623640,1760500.551834,0.000000,1904407.751577,CPTY_A
117,2020-08-14,14,1807550.686410,1710682.237687,0.000000,1970600.543125,CPTY_A
118,2020-08-28,14,1825446.890353,1721517.927898,-155265.079437,2047672.811563,CPTY_A
119,2020-09-11,14,1819967.311659,1742029.189030,0.000000,1990741.736036,CPTY_A
120,2020-09-25,14,1832919.551532,1750144.290838,0.000000,2075266.512586,CPTY_A
121,2020-10-09,14,1855105.191171,1742230.844448,0.000000,2268045.499202,CPTY_A
122,2020-10-23,14,1814810.819563,1725205.995419,0.000000,1781123.723834,CPTY_A
123,2020-11-06,14,1846428.453827,1722394.610077,0.000000,1973873.513957,CPTY_A
124,2020-11-20,14,1823036.924312,1708298.735705,0.000000,2072819.064342,CPTY_A
125,2020-12-04,14,1834164.887907,1754149.312118,118994.681257,1917366.387464,CPTY_A
126,2020-12-18,17,1863236.966568,1728103.916380,0.000000,1966570.980786,CPTY_A
127,2021-01-04,11,1774683.413608,1700603.236608,0.000000,1963344.877250,CPTY_A
128,2021-01-15,14,1791108.163159,1689034.444876,0.000000,2101539.020801,CPTY_A
129,2021-01-29,14,1819298.555765,1667321.060864,0.000000,1972479.808787,CPTY_A
130,2021-02-12,14,1684096.160431,1602687.444072,0.000000,1623136.726043,CPTY_A
131,2021-02-26,14,1693425.406976,1570683.465134,-142880.933393,1638669.881225,CPTY_A
132,2021-03-12,14,1714693.641734,1614161.058977,0.000000,1985368.199001,CPTY_A
133,2021-03-26,14,1695411.923799,1598690.760950,0.000000,1830454.686517,CPTY_A
134,2021-04-09,14,1658274.188107,1593434.724305,0.000000,1716839.267609,CPTY_A
135,2021-04-23,14,1722697.742782,1608328.853506,0.000000,1993179.240668,CPTY_A
136,2021-05-07,14,1686478.603648,1483085.676527,0.000000,1884435.022623,CPTY_A
137,2021-05-21,14,1791463.182537,1571370.415014,0.000000,1929521.759155,CPTY_A
138,2021-06-04,14,1644361.921460,1571875.492698,139677.853741,1853637.319019,CPTY_A
139,2021-06-18,14,1727512.307831,1599096.131007,0.000000,2153293.367594,CPTY_A
140,2021-07-02,14,1692245.053441,1571267.944744,0.000000,1692459.283134,CPTY_A
141,2021-07-16,14,1665903.639010,1595499.694969,0.000000,1776238.373368,CPTY_A
142,2021-07-30,14,1611150.483176,1573980.806040,0.000000,1823370.124608,CPTY_A
143,2021-08-13,14,1606222.482651,1543808.943220,0.000000,1798458.959020,CPTY_A
144,2021-08-27,14,1710076.715378,1598851.286780,-139115.218935,1880627.845475,CPTY_A
145,2021-09-10,14,1682899.145221,1572504.648673,0.000000,1825808.816208,CPTY_A
146,2021-09-24,14,1701009.898274,1574655.561038,0.000000,1891281.196476,CPTY_A
147,2021-10-08,14,1712070.338596,1567161.965132,0.000000,1997125.241230,CPTY_A
148,2021-10-22,14,1716740.443956,1568618.519032,0.000000,1753903.755363,CPTY_A
149,2021-11-05,14,1688736.110022,1572647.138247,0.000000,1875832.220735,CPTY_A
150,2021-11-19,14,1619027.221110,1564612.317345,0.000000,1768730.304106,CPTY_A
151,2021-12-03,14,1735077.861391,1575806.466707,132807.336822,2197912.536299,CPTY_A
152,2021-12-17,18,1698158.061512,1567311.685342,0.000000,1696565.786087,CPTY_A
153,2022-01-04,10,1675613.188255,1571501.449743,0.000000,1846150.645462,CPTY_A
154,2022-01-14,14,1640426.714810,1538237.651032,0.000000,1769641.481702,CPTY_A
155,2022-01-28,14,1686334.809806,1548622.084461,0.000000,2157405.007060,CPTY_A
156,2022-02-11,14,1771834.006401,1615577.371969,0.000000,2177515.287690,CPTY_A
157,2022-02-25,14,1631514.593664,1547029.570118,-130525.136441,1749829.207358,CPTY_A
158,2022-03-11,14,1702141.606056,1505121.574519,0.000000,1894796.739144,CPTY_A
159,2022-03-25,14,1651872.101248,1579054.894858,0.000000,1868730.601320,CPTY_A
160,2022-04-08,14,1683215.715003,1583225.656662,0.000000,1775596.352821,CPTY_A
161,2022-04-22,14,1700764.267621,1521455.962198,0.000000,1789879.997546,CPTY_A
162,2022-05-06,14,1667140.410201,1536037.342188,0.000000,1980258.182171,CPTY_A
163,2022-05-20,14,1691299.562282,1549406.903650,0.000000,1931229.534817,CPTY_A
164,2022-06-03,14,1667631.177082,1549275.682229,137024.739231,1684036.515372,CPTY_A
165,2022-06-17,14,1667110.126426,1539315.711520,0.000000,1618191.829530,CPTY_A
166,2022-07-01,14,1705965.969978,1566598.824854,0.000000,2043529.044456,CPTY_A
167,2022-07-15,14,1673863.045562,1529354.274698,0.000000,1760367.840275,CPTY_A
168,2022-07-29,14,1665842.308931,1500842.838628,0.000000,1687798.125094,CPTY_A
169,2022-08-12,14,1664610.364655,1554340.634510,0.000000,2028110.235452,CPTY_A
170,2022-08-26,14,1711761.042798,1575741.584156,-128308.975733,1894185.404828,CPTY_A
171,2022-09-09,14,1657509.703662,1533566.080521,0.000000,1687296.012762,CPTY_A
172,2022-09-23,14,1659873.106881,1515666.703856,0.000000,2099829.574088,CPTY_A
173,2022-10-07,14,1688706.939382,1538383.447513,0.000000,1879309.817326,CPTY_A
174,2022-10-21,14,1659913.566978,1550154.999449,0.000000,1796774.915510,CPTY_A
175,2022-11-04,14,1668724.466718,1534892.811438,0.000000,1877812.836653,CPTY_A
176,2022-11-18,14,1669637.238468,1496944.019693,0.000000,1886495.409198,CPTY_A
177,2022-12-02,14,1657072.652702,1560188.309343,134384.302386,1895002.412396,CPTY_A
178,2022-12-16,14,1664991.207355,1543951.878958,0.000000,1864318.613672,CPTY_A
179,2022-12-30,14,1654117.527438,1545719.717021,0.000000,1881634.834275,CPTY_A
180,2023-01-13,14,1657702.153493,1521244.771833,0.000000,1684269.712019,CPTY_A
181,2023-01-27,14,1624765.858702,1549244.833932,0.000000,1699267.708187,CPTY_A
182,2023-02-10,14,1660092.672742,1540923.822731,0.000000,1862866.124465,CPTY_A
183,2023-02-24,14,1622497.895483,1525356.134093,-121028.943656,1852468.694857,CPTY_A
184,2023-03-10,14,1712067.925168,1488870.934772,0.000000,1973848.495717,CPTY_A
185,2023-03-24,18,1717887.283206,1501933.725704,0.000000,2167002.652397,CPTY_A
186,2023-04-11,10,1626963.546314,1523094.820946,0.000000,1686355.781400,CPTY_A
187,2023-04-21,14,1637353.985769,1525242.335848,0.000000,1980490.853910,CPTY_A
188,2023-05-05,14,1752601.260986,1540890.307801,0.000000,1998570.055392,CPTY_A
189,2023-05-19,14,1599154.308777,1497995.041388,0.000000,1675186.311156,CPTY_A
190,2023-06-02,14,1639707.848346,1503283.579665,145175.091461,2057980.505392,CPTY_A
191,2023-06-16,14,1639399.651264,1491357.379378,0.000000,1804874.802941,CPTY_A
192,2023-06-30,14,1682300.907309,1485379.435640,0.000000,1945049.313160,CPTY_A
193,2023-07-14,14,1688440.324148,1484578.017239,0.000000,1998607.744893,CPTY_A
194,2023-07-28,14,1668791.362756,1510227.770543,0.000000,1806271.023896,CPTY_A
195,2023-08-11,14,1649531.161212,1538252.218336,0.000000,1828014.771101,CPTY_A
196,2023-08-25,14,1675726.246728,1491664.473155,-114581.543118,2095303.788747,CPTY_A
197,2023-09-08,14,1691655.857006,1480477.711988,0.000000,2046155.694657,CPTY_A
198,2023-09-22,14,1676983.810511,1467064.217927,0.000000,2127984.659998,CPTY_A
199,2023-10-06,14,1669490.845505,1473812.427337,0.000000,1936588.278613,CPTY_A
200,2023-10-20,14,1643671.321407,1502820.025386,0.000000,1929418.239858,CPTY_A
201,2023-11-03,14,1658095.415479,1520382.111436,0.000000,1979915.476611,CPTY_A
202,2023-11-17,14,1660481.548733,1431864.568276,0.000000,1733569.326052,CPTY_A
203,2023-12-01,14,1687622.017075,1451320.954978,142790.687057,1890138.536978,CPTY_A
204,2023-12-15,14,1650719.901425,1495950.568975,0.000000,1967236.222017,CPTY_A
205,2023-12-29,14,1681264.652768,1474032.405028,0.000000,1957436.787823,CPTY_A
206,2024-01-12,14,1656191.848317,1499584.463430,0.000000,1944820.744643,CPTY_A
207,2024-01-26,14,1658965.334838,1491262.079201,0.000000,1894941.621257,CPTY_A
208,2024-02-09,14,1629311.179381,1510229.464812,0.000000,1748328.544736,CPTY_A
209,2024-02-23,14,1580923.336181,1475396.112409,-106094.964181,1711774.330726,CPTY_A
210,2024-03-08,14,1698507.955571,1475023.663918,0.000000,1963727.014728,CPTY_A
211,2024-03-22,14,1655478.152935,1499189.284459,0.000000,1713621.768008,CPTY_A
212,2024-04-05,14,1637857.207408,1514387.759507,0.000000,1836658.072338,CPTY_A
213,2024-04-19,14,1678678.057482,1493440.444198,0.000000,2005091.159205,CPTY_A
214,2024-05-03,14,1660494.222474,1433801.563581,0.000000,2046479.023256,CPTY_A
215,2024-05-17,14,1620315.644916,1490359.972148,0.000000,1795357.982636,CPTY_A
216,2024-05-31,14,1627525.127533,1455017.075113,158952.805743,1778779.608752,CPTY_A
217,2024-06-14,14,1592373.333869,1458901.651513,0.000000,1971251.569280,CPTY_A
218,2024-06-28,14,1659452.777192,1425273.898646,0.000000,1984623.291404,CPTY_A
219,2024-07-12,14,1599340.402337,1485034.491274,0.000000,1731715.053369,CPTY_A
220,2024-07-26,14,1652034.442587,1443104.254716,0.000000,1885635.767284,CPTY_A
221,2024-08-09,14,1639143.938740,1486337.044581,0.000000,1835250.752148,CPTY_A
222,2024-08-23,14,1646529.995152,1450726.572918,-99255.130346,1991599.269388,CPTY_A
223,2024-09-06,14,1621975.205563,1471690.905242,0.000000,1791072.384025,CPTY_A
224,2024-09-20,14,1625344.003001,1458820.334334,0.000000,1895523.465277,CPTY_A
225,2024-10-04,14,1592964.076659,1479408.768542,0.000000,1884441.587286,CPTY_A
226,2024-10-18,14,1628304.902847,1479412.464725,0.000000,1832636.791897,CPTY_A
227,2024-11-01,14,1577063.241028,1421076.946024,0.000000,1745439.874648,CPTY_A
228,2024-11-15,14,1636032.163636,1463191.942196,0.000000,1878711.490805,CPTY_A
229,2024-11-29,14,1659789.136010,1409006.410857,153576.502458,1832176.440386,CPTY_A
230,2024-12-13,14,1628111.157388,1464520.411914,0.000000,1894352.957691,CPTY_A
231,2024-12-27,14,1585771.621238,1446527.687934,0.000000,1722062.842702,CPTY_A
232,2025-01-10,14,1617820.253496,1468503.952447,0.000000,1949399.317278,CPTY_A
233,2025-01-24,14,1628039.668470,1444533.611832,0.000000,2082890.645462,CPTY_A
234,2025-02-07,14,1635494.979219,1439172.961699,0.000000,1871399.885705,CPTY_A
235,2025-02-21,14,1611930.854353,1464290.601663,-95412.985579,1978223.233308,CPTY_A
236,2025-03-07,14,1629021.094965,1465559.462557,0.000000,1835590.201352,CPTY_A
237,2025-03-21,14,1671570.819606,1367565.774190,0.000000,2006865.122845,CPTY_A
238,2025-04-04,18,1627990.711380,1407428.929592,0.000000,1861329.181495,CPTY_A
239,2025-04-22,10,1633487.058769,1462566.063401,0.000000,2014662.291418,CPTY_A
240,2025-05-02,14,1615020.552682,1445236.365772,0.000000,1835151.281432,CPTY_A
241,2025-05-16,14,1655362.151547,1388515.965087,0.000000,1851801.406855,CPTY_A
242,2025-05-30,14,1579364.622856,1437451.013136,158727.132237,1920122.237147,CPTY_A
243,2025-06-13,14,1616290.638983,1369284.118896,0.000000,1772875.327997,CPTY_A
244,2025-06-27,14,1692558.083553,1408560.123965,0.000000,1829568.387655,CPTY_A
245,2025-07-11,14,1606088.133858,1469883.096712,0.000000,1862284.057364,CPTY_A
246,2025-07-25,14,1634717.508956,1369889.574794,0.000000,1868531.254929,CPTY_A
247,2025-08-08,14,1643355.685160,1370702.043316,0.000000,1767579.084319,CPTY_A
248,2025-08-22,14,57915.257270,50597.928772,682149.736275,70394.642815,CPTY_A
249,2025-09-05,14,0.000000,0.000000,0.000000,0.000000,CPTY_A
250,2025-09-19,14,0.000000,0.000000,0.000000,0.000000,CPTY_A
251,2025-10-03,14,0.000000,0.000000,0.000000,0.000000,CPTY_A
252,2025-10-17,14,0.000000,0.000000,0.000000,0.000000,CPTY_A
253,2025-10-31,14,0.000000,0.000000,0.000000,0.000000,CPTY_A
254,2025-11-14,14,0.000000,0.000000,0.000000,0.000000,CPTY_A
255,2025-11-28,14,0.000000,0.000000,0.000000,0.000000,CPTY_A
256,2025-12-12,17,0.000000,0.000000,0.000000,0.000000,CPTY_A
257,2025-12-29,11,0.000000,0.000000,0.000000,0.000000,CPTY_A
258,2026-01-09,14,0.000000,0.000000,0.000000,0.000000,CPTY_A
259,2026-01-23,14,0.000000,0.000000,0.000000,0.000000,CPTY_A
260,2026-02-06,14,0.000000,0.000000,0.000000,0.000000,CPTY_A
261,2026-02-20,14,0.000000,0.000000,0.000000,0.000000,CPTY_A
262,2026-03-06,14,0.000000,0.000000,0.000000,0.000000,CPTY_A
263,2026-03-20,18,0.000000,0.000000,0.000000,0.000000,CPTY_A
264,2026-04-07,10,0.000000,0.000000,0.000000,0.000000,CPTY_A
265,2026-04-17,18,0.000000,0.000000,0.000000,0.000000,CPTY_A
266,2026-05-05,10,0.000000,0.000000,0.000000,0.000000,CPTY_A
267,2026-05-15,14,0.000000,0.000000,0.000000,0.000000,CPTY_A
268,2026-05-29,14,0.000000,0.000000,0.000000,0.000000,CPTY_A
