#Sample,Regressor_0_EUR-EURIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,-0.024939,220287.795326,0.000000,93642.128340,102512.834978,-164631.935642,141479.644761
1,-0.023384,215636.485797,0.000000,93642.128340,102512.834978,-107810.551133,141479.644761
2,-0.022179,211963.173520,0.000000,93642.128340,102512.834978,58038.706935,141479.644761
3,-0.021370,209459.817092,0.000000,93642.128340,102512.834978,32216.671953,141479.644761
4,-0.020579,206983.804182,0.000000,93642.128340,102512.834978,20430.714331,141479.644761
5,-0.019820,204580.109190,0.000000,93642.128340,102512.834978,117063.095755,141479.644761
6,-0.019642,204011.255732,0.000000,93642.128340,102512.834978,102505.993908,141479.644761
7,-0.019493,203535.049625,0.000000,93642.128340,102512.834978,-53207.382981,141479.644761
8,-0.019324,202992.374685,0.000000,93642.128340,102512.834978,49313.856293,141479.644761
9,-0.019101,202275.313673,110852.157983,93642.128340,102512.834978,60655.689077,141479.644761
10,-0.018657,200838.805349,110848.179239,93642.128340,102512.834978,1962.587889,141479.644761
11,-0.018444,200148.291391,0.000000,93642.128340,102512.834978,-264069.141982,141479.644761
12,-0.018236,199467.685470,0.000000,93642.128340,102512.834978,-32161.578728,141479.644761
13,-0.017790,198007.209853,0.000000,93642.128340,102512.834978,-42110.286584,141479.644761
14,-0.017786,197993.254043,0.000000,93642.128340,102512.834978,-8170.055562,141479.644761
15,-0.017722,197780.991105,0.000000,93642.128340,102512.834978,-13752.589133,141479.644761
16,-0.017460,196916.649827,110837.460369,93642.128340,102512.834978,54318.060475,141479.644761
17,-0.017292,196359.527455,0.000000,93642.128340,102512.834978,-35624.951278,141479.644761
18,-0.016914,195100.263879,0.000000,93642.128340,102512.834978,-114267.452428,141479.644761
19,-0.016810,194752.547504,0.000000,93642.128340,102512.834978,31641.839484,141479.644761
20,-0.016692,194356.648294,0.000000,93642.128340,102512.834978,-57137.258061,141479.644761
21,-0.016630,194149.828348,0.000000,93642.128340,102512.834978,-53553.136412,141479.644761
22,-0.016618,194108.567024,0.000000,93642.128340,102512.834978,-139831.629903,141479.644761
23,-0.016297,193028.364676,0.000000,93642.128340,102512.834978,155868.357055,141479.644761
24,-0.015886,191635.427176,0.000000,93642.128340,102512.834978,34289.640442,141479.644761
25,-0.015837,191470.044398,0.000000,93642.128340,102512.834978,150427.554883,141479.644761
26,-0.015325,189715.658590,110818.331255,93642.128340,102512.834978,-150521.021153,141479.644761
27,-0.015191,189255.238818,0.000000,93642.128340,102512.834978,-127799.135792,141479.644761
28,-0.015138,189074.309249,0.000000,93642.128340,102512.834978,-58635.296348,141479.644761
29,-0.015075,188857.224310,0.000000,93642.128340,102512.834978,30820.066207,141479.644761
30,-0.014779,187832.190611,0.000000,93642.128340,102512.834978,-97867.547517,141479.644761
31,-0.014672,187461.617226,0.000000,93642.128340,102512.834978,39123.062093,141479.644761
32,-0.014662,187425.465669,0.000000,93642.128340,102512.834978,-17317.775431,141479.644761
33,-0.014275,186074.305514,0.000000,93642.128340,102512.834978,-56141.048999,141479.644761
