#Sample,Regressor_0_USD,Regressor_1_EUR-EURIBOR-3M,Regressor_2_USD-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,0.436162,0.000039,0.009921,301002.200874,1547874.202283,1783984.252988,1852540.738136,-248188.799694,2093807.545081
1,0.447045,0.004924,0.006315,307880.701791,0.000000,1783984.252988,1852540.738136,489195.783259,2093807.545081
2,0.452195,-0.001527,0.004199,411528.961370,0.000000,1783984.252988,1852540.738136,-293964.001598,2093807.545081
3,0.458077,0.002897,0.036541,521791.518890,0.000000,1783984.252988,1852540.738136,-52886.012269,2093807.545081
4,0.459925,-0.006534,0.013658,651693.361142,1561562.147216,1783984.252988,1852540.738136,-39409.193410,2093807.545081
5,0.461765,0.015997,0.037420,705123.434897,0.000000,1783984.252988,1852540.738136,40484.938194,2093807.545081
6,0.474739,-0.018741,0.011122,1068366.263542,0.000000,1783984.252988,1852540.738136,-49997.643592,2093807.545081
7,0.478441,-0.000634,0.022809,663410.851343,0.000000,1783984.252988,1852540.738136,-1136626.150612,2093807.545081
8,0.482311,-0.000821,0.046400,649631.884740,0.000000,1783984.252988,1852540.738136,69820.970371,2093807.545081
9,0.482697,0.007819,0.021015,659229.882927,0.000000,1783984.252988,1852540.738136,337739.258977,2093807.545081
10,0.494379,-0.013964,0.012529,991597.295630,0.000000,1783984.252988,1852540.738136,421051.520024,2093807.545081
11,0.494765,0.005507,0.009280,654663.953415,0.000000,1783984.252988,1852540.738136,413569.778346,2093807.545081
12,0.499794,0.012242,0.046768,773368.649675,0.000000,1783984.252988,1852540.738136,260520.904283,2093807.545081
13,0.508237,0.001836,0.017041,765457.822035,0.000000,1783984.252988,1852540.738136,333924.871352,2093807.545081
14,0.517624,-0.014902,0.011680,1092816.259932,0.000000,1783984.252988,1852540.738136,-868756.743919,2093807.545081
15,0.518390,0.000421,-0.005350,676730.237226,0.000000,1783984.252988,1852540.738136,4428.884666,2093807.545081
16,0.519050,-0.002651,0.037431,865929.664384,0.000000,1783984.252988,1852540.738136,46128.346720,2093807.545081
17,0.521642,0.014799,0.028900,921215.562581,0.000000,1783984.252988,1852540.738136,-225579.432817,2093807.545081
18,0.522520,0.001790,0.011120,803257.767761,0.000000,1783984.252988,1852540.738136,416721.603706,2093807.545081
19,0.524274,-0.006821,0.018992,946664.178370,0.000000,1783984.252988,1852540.738136,-257227.957223,2093807.545081
20,0.533540,0.013854,0.022540,940083.778578,0.000000,1783984.252988,1852540.738136,-623951.139790,2093807.545081
21,0.534371,0.007342,0.075301,651447.190186,0.000000,1783984.252988,1852540.738136,-164569.027519,2093807.545081
22,0.534456,0.008064,0.019157,879140.159059,0.000000,1783984.252988,1852540.738136,-411538.285301,2093807.545081
23,0.536452,0.003743,0.039081,888972.412713,0.000000,1783984.252988,1852540.738136,331686.540307,2093807.545081
24,0.538819,0.001983,0.022363,903344.854581,1608561.832316,1783984.252988,1852540.738136,372173.491219,2093807.545081
25,0.540096,-0.001199,0.003985,864177.197707,1609345.545197,1783984.252988,1852540.738136,580274.027762,2093807.545081
26,0.541566,-0.002550,0.022387,951922.237572,0.000000,1783984.252988,1852540.738136,-113274.803340,2093807.545081
27,0.543043,0.002181,0.037206,921536.286888,0.000000,1783984.252988,1852540.738136,-181719.129021,2093807.545081
28,0.547435,0.007699,0.047871,916473.915116,0.000000,1783984.252988,1852540.738136,-335009.864910,2093807.545081
29,0.548777,-0.001657,-0.019777,680762.681295,0.000000,1783984.252988,1852540.738136,992028.575920,2093807.545081
30,0.550369,0.003091,0.028748,949621.717501,0.000000,1783984.252988,1852540.738136,-304800.900459,2093807.545081
31,0.550500,0.008381,0.023415,950466.279705,0.000000,1783984.252988,1852540.738136,524232.032054,2093807.545081
32,0.552640,0.003568,-0.003975,821990.699233,0.000000,1783984.252988,1852540.738136,460140.811403,2093807.545081
33,0.553974,0.003181,0.038625,957298.633932,0.000000,1783984.252988,1852540.738136,-16078.622882,2093807.545081
34,0.555959,-0.017890,0.004445,1267565.231615,0.000000,1783984.252988,1852540.738136,-517943.744797,2093807.545081
35,0.558975,0.010926,0.043947,993846.972410,0.000000,1783984.252988,1852540.738136,324227.184368,2093807.545081
36,0.559446,-0.003002,0.005038,965939.193801,0.000000,1783984.252988,1852540.738136,-344333.311521,2093807.545081
37,0.560299,-0.005682,0.014830,1045060.439797,0.000000,1783984.252988,1852540.738136,-15554.361241,2093807.545081
38,0.560453,0.007097,0.019800,973522.651582,0.000000,1783984.252988,1852540.738136,877267.296647,2093807.545081
39,0.562941,-0.001750,0.024583,1022749.148723,0.000000,1783984.252988,1852540.738136,-696295.318521,2093807.545081
40,0.564158,-0.002161,0.007606,984871.692117,0.000000,1783984.252988,1852540.738136,-324993.718634,2093807.545081
41,0.567785,0.001310,0.033148,1019383.115401,0.000000,1783984.252988,1852540.738136,433340.145843,2093807.545081
42,0.568231,0.008403,0.025074,1015860.679445,0.000000,1783984.252988,1852540.738136,-236774.046209,2093807.545081
43,0.570561,-0.018066,0.009633,1329128.810683,0.000000,1783984.252988,1852540.738136,-278005.714215,2093807.545081
44,0.571109,0.006883,0.012373,987441.504124,0.000000,1783984.252988,1852540.738136,1132314.929184,2093807.545081
45,0.571509,0.004457,0.008326,970896.740608,1628904.597175,1783984.252988,1852540.738136,257853.714711,2093807.545081
46,0.572701,0.009642,0.017461,1021876.496128,0.000000,1783984.252988,1852540.738136,-516066.008865,2093807.545081
47,0.574857,0.012025,0.037440,1068326.245039,0.000000,1783984.252988,1852540.738136,173167.791788,2093807.545081
48,0.575929,0.006526,0.041800,1031130.731268,0.000000,1783984.252988,1852540.738136,336225.101148,2093807.545081
49,0.579583,0.006618,0.026373,1050036.808589,0.000000,1783984.252988,1852540.738136,-708144.919653,2093807.545081
50,0.580786,-0.007083,0.033654,1151653.059506,0.000000,1783984.252988,1852540.738136,300332.289423,2093807.545081
51,0.581227,0.023209,0.048347,1255294.955255,0.000000,1783984.252988,1852540.738136,175587.580915,2093807.545081
52,0.581619,0.017258,0.032629,1158642.916788,0.000000,1783984.252988,1852540.738136,-404840.925606,2093807.545081
53,0.581652,0.001573,0.032405,1066107.698396,0.000000,1783984.252988,1852540.738136,722711.489442,2093807.545081
54,0.583878,0.015146,0.041241,1130090.654978,0.000000,1783984.252988,1852540.738136,-88292.081197,2093807.545081
55,0.584627,0.001322,0.025124,1074383.951687,0.000000,1783984.252988,1852540.738136,-1347907.944062,2093807.545081
56,0.585289,0.010814,0.005101,1022284.695952,0.000000,1783984.252988,1852540.738136,-96468.348507,2093807.545081
57,0.588974,0.001438,0.034053,1090701.256417,1640026.785252,1783984.252988,1852540.738136,151506.964554,2093807.545081
58,0.590600,-0.010868,-0.001481,1175213.081360,1641072.181075,1783984.252988,1852540.738136,-722212.119548,2093807.545081
59,0.592005,0.003070,0.002797,1019512.943468,0.000000,1783984.252988,1852540.738136,-260898.112912,2093807.545081
60,0.592658,-0.001671,0.038216,1119955.472900,0.000000,1783984.252988,1852540.738136,13509.386849,2093807.545081
61,0.596596,-0.000128,0.031849,1125698.873711,0.000000,1783984.252988,1852540.738136,146734.644996,2093807.545081
62,0.597320,-0.011269,0.008593,1244970.752012,0.000000,1783984.252988,1852540.738136,-683418.379686,2093807.545081
63,0.598031,0.015171,0.013201,1142755.802354,1645870.273797,1783984.252988,1852540.738136,-121154.776052,2093807.545081
64,0.598310,0.000283,0.031276,1128641.549171,0.000000,1783984.252988,1852540.738136,-396817.983001,2093807.545081
65,0.599994,-0.005743,0.017317,1181345.010939,0.000000,1783984.252988,1852540.738136,-1030141.168412,2093807.545081
66,0.601007,0.002863,0.016308,1105245.888951,0.000000,1783984.252988,1852540.738136,888042.599897,2093807.545081
67,0.602000,0.001290,0.023106,1129258.180954,1648448.124700,1783984.252988,1852540.738136,-360333.649659,2093807.545081
